Index,Body
1,"ATLANTA, Ga. (Atlanta News First) - On the eve of Tuesday's historic debate, former President Donald Trump has opened up a small, four-point lead over Vice President Kamala Harris in Georgia, one of about a half-dozen battleground states where the 2024 election will be decided.

The new Quinnipiac University battleground state poll found Trump with 49% support to Harris' 45%, with independent candidate Cornel West and The Party for Socialism and Liberation candidate Claudia De la Cruz each receiving 1%. All other listed third-party candidates received less than 1% support.

The poll also surveyed North Carolina's presidential and gubernatorial races.

""With 32 electoral votes to offer between them, North Carolina and Georgia loom large among the potential pathways to the presidency and neither state offers a clear-cut favorite,"" said Quinnipiac University Polling Analyst Tim Malloy. ""In Georgia -- ground zero for political fireworks the last time around -- the Trump ticket has an edge on leadership over Harris.""

The poll was conducted Sept. 4-8 among 969 likely voters in Georgia, with a margin of error of plus/minus 3.2 percentage points.

Here are the poll's highlights:"
2,"Washington -- Vice President Kamala Harris is heading into the presidential debate with former President Donald Trump on Tuesday locked in a tight race with her GOP opponent, but is continuing to see a growing number of Republicans endorse her ahead of the 2024 election.

Harris and Trump are poised to go head-to-head in Philadelphia in their first and maybe only debate before Election Day. Both candidates will have surrogates in the spin room following the matchup, hosted by ABC News. But among those advocating for Harris will be two people who worked in the White House for Trump.

Anthony Scaramucci, who had a brief stint as Trump's White House communications director, and Olivia Troye, who was Homeland Security adviser to Vice President Mike Pence, will be in Philadelphia to speak out against the former president, Harris' campaign said.

Scaramucci and Troye are not the only Republicans who have announced their support for Harris, and the Democratic presidential nominee's campaign rolled out ""Republicans for Harris"" to bolster outreach to GOP voters who oppose Trump.

Several Republicans endorsed Harris at the Democratic National Convention in August, while a group of more than 200 who worked for former Presidents George H.W. Bush and George W. Bush, as well as Sen. Mitt Romney and the late Sen. John McCain signed onto a letter supporting the Democratic nominee.

Cheney has been one of the most vocal Republican critics of Trump, and she announced her intent to vote for Harris during an event at Duke University on Sept. 4. She represented Wyoming in the House for six years, which included two years in GOP leadership as conference chair before being ousted from the leadership position by pro-Trump Republicans and then defeated by Trump-backed challenger in a primary.

""I don't believe that we have the luxury of writing in candidates' names, particularly in swing states,"" Cheney said. ""As a conservative, as someone who believes in and cares about the Constitution, I have thought deeply about this. And because of the danger that Donald Trump poses, not only am I not voting for Donald Trump, but I will be voting for Kamala Harris.""

The former vice president joined his daughter, Liz Cheney, in announcing his plan to vote for Harris in November. Cheney has a long career in Republican politics, having served four presidents. In addition to being vice president to President George W. Bush, Cheney was secretary of Defense under President George H.W. Bush and White House chief of staff under President Gerald Ford. He represented Wyoming in the House for 10 years.

""In our nation's 248-year history, there has never been an individual who is a greater threat to our republic than Donald Trump,"" he said in a statement on Sept. 6. ""He tried to steal the last election using lies and violence to keep himself in power after the voters had rejected him. He can never be trusted with power again. As citizens, we each have a duty to put country above partisanship to defend our Constitution. That is why I will be casting my vote for Vice President Kamala Harris.""

Like Liz Cheney, Kinzinger has also been one of the most ardent critics of Trump. The former Illinois congressman appeared at the Democratic National Convention on Aug. 22 to urge Republicans to back Harris in November.

""Donald Trump has suffocated the soul of the Republican Party,"" he said. ""His fundamental weakness has coursed through my party like an illness.""

Kinzinger delivered a message to GOP voters to ""vote for our bedrock values and vote for Kamala Harris.""

Grisham was a White House press secretary under Trump and chief of staff to first lady Melania Trump before resigning on Jan. 6, 2021, when a mob of the former president's supporters violently breached the U.S. Capitol. She addressed the Democratic National Convention on its second night and lambasted Trump as having ""no empathy, no morals and no fidelity to the truth.""

""I love my country more than my party,"" Grisham said. ""Kamala Harris tells the truth. She respects the American people and she has my vote.""

Troye, who was an adviser to Pence, also addressed the Democratic National Convention to speak out against Trump and voice her support for Harris.

She said the Republican nominee's goal is ""to sow doubt and division,"" and characterized a vote for Harris as a vote for democracy.

""You're not betraying our party,"" she said of the GOP. ""You're standing up for our country.""

Scaramucci was White House communications director before he was ousted from the role in July 2017 after serving just 11 days. He has since criticized Trump and the GOP, calling it a ""Trumpist party"" in an interview with the Australian Broadcasting Corporation.

""Kamala Harris is capable and has a great team,"" he said in a July social media post.

Duncan was Georgia's lieutenant governor and split with Trump over his efforts to overturn the results of the 2020 election. He, too, delivered remarks at the Democratic National Convention to urge his fellow Republicans to support Harris in the presidential election.

""To my fellow Republicans at home that want to pivot back toward policy, empathy and tone: You know the right thing to do. Now let's have the courage to do it in November,"" Duncan said, calling Harris a ""steady hand.""

Melissa Quinn

Melissa Quinn is a politics reporter for CBSNews.com. She has written for outlets including the Washington Examiner, Daily Signal and Alexandria Times. Melissa covers U.S. politics, with a focus on the Supreme Court and federal courts."
3,"PHILADELPHIA, PA -- California Gov. Gavin Newsom is back on the presidential campaign trail.

The high-profile Democrat and two-term governor was one of the top surrogates for President Biden during the president's re-election campaign.

But other than an appearance - but no speaking role - at last month's Democratic National Convention (DNC) in Chicago, Newsom has mostly been off the campaign trail since fellow Californian Vice President Kamala Harris replaced Biden atop the party's 2024 ticket seven and a half weeks ago.

Until now.

Newsom will be one of four Democratic governors - along with Josh Shapiro of Pennsylvania, Roy Cooper of North Carolina and Michelle Lujan Grisham of New Mexico - who will be in the debate spin room on behalf of the vice president.

WHY THE HARRIS-TRUMP DEBATE SHOWDOWN IS SO CRUCIAL

Ahead of his stop in Philadelphia, Newsom was in New York on Sunday to headline a fundraiser for Harris and also made media appearances on behalf of the vice president and Minnesota Gov. Tim Walz, her running mate.

""What Kamala Harris has done in the past eight weeks is unprecedented in U.S. history. She's closed the gap. We're not just in the margin of error. We've expanded the map of the United States,"" Newsom emphasized early Tuesday in an interview on ""CBS Mornings.""

HARRIS-TRUMP DEBATE BEING HELD IN EXTREMELY CRUCIAL 2024 BATTLEGROUND

Newsom was a prominent Biden surrogate and defended him after the president's disastrous performance in his late June debate against former President Trump, the GOP presidential nominee.

Biden's halting debate delivery instantly fueled questions about his physical and mental abilities to serve another four years in the White House and spurred a rising chorus of calls from within his own party for the 81-year-old president to end his bid for a second term. Facing increased pressure from fellow Democrats, Biden, in a blockbuster announcement on July 21, ended his re-election campaign and endorsed his vice president.

KAMALA HARRIS, DONALD TRUMP PRESIDENTIAL DEBATE: LIVE UPDATES

When asked if he would be as voracious for Harris on the campaign trail as he was for Biden, Newsom pointed to his longtime friendship and working relationship with the vice president.

""We knew each other a decade before we both got into politics. One of my oldest friends. So it's a no brainer,"" Newsom told Fox News Digital during the first night of the DNC at Chicago's United Center arena. ""I'm as needed. But obviously all in.""

However, Newsom, who is thought to have long harbored national ambitions of his own, added at the time that he may not be asked by the Harris campaign to hit the trail on behalf of the vice president.

CLICK HERE TO GET THE FOX NEWS APP

""We'll see. Because everybody's out there. Everybody's doing everything,"" the governor said.

Fast-forward three weeks, and Newsom's back on the campaign trail."
4,"Washington -- Vice President Kamala Harris is heading into the presidential debate with former President Donald Trump on Tuesday locked in a tight race with her GOP opponent, but is continuing to see a growing number of Republicans endorse her ahead of the 2024 election.

Harris and Trump are poised to go head-to-head in Philadelphia in their first and maybe only debate before Election Day. Both candidates will have surrogates in the spin room following the matchup, hosted by ABC News. But among those advocating for Harris will be two people who worked in the White House for Trump.

Anthony Scaramucci, who had a brief stint as Trump's White House communications director, and Olivia Troye, who was Homeland Security adviser to Vice President Mike Pence, will be in Philadelphia to speak out against the former president, Harris' campaign said.

Scaramucci and Troye are not the only Republicans who have announced their support for Harris, and the Democratic presidential nominee's campaign rolled out ""Republicans for Harris"" to bolster outreach to GOP voters who oppose Trump.

Several Republicans endorsed Harris at the Democratic National Convention in August, while a group of more than 200 who worked for former Presidents George H.W. Bush and George W. Bush, as well as Sen. Mitt Romney and the late Sen. John McCain signed onto a letter supporting the Democratic nominee.

Cheney has been one of the most vocal Republican critics of Trump, and she announced her intent to vote for Harris during an event at Duke University on Sept. 4. She represented Wyoming in the House for six years, which included two years in GOP leadership as conference chair before being ousted from the leadership position by pro-Trump Republicans and then defeated by Trump-backed challenger in a primary.

""I don't believe that we have the luxury of writing in candidates' names, particularly in swing states,"" Cheney said. ""As a conservative, as someone who believes in and cares about the Constitution, I have thought deeply about this. And because of the danger that Donald Trump poses, not only am I not voting for Donald Trump, but I will be voting for Kamala Harris.""

The former vice president joined his daughter, Liz Cheney, in announcing his plan to vote for Harris in November. Cheney has a long career in Republican politics, having served four presidents. In addition to being vice president to President George W. Bush, Cheney was secretary of Defense under President George H.W. Bush and White House chief of staff under President Gerald Ford. He represented Wyoming in the House for 10 years.

""In our nation's 248-year history, there has never been an individual who is a greater threat to our republic than Donald Trump,"" he said in a statement on Sept. 6. ""He tried to steal the last election using lies and violence to keep himself in power after the voters had rejected him. He can never be trusted with power again. As citizens, we each have a duty to put country above partisanship to defend our Constitution. That is why I will be casting my vote for Vice President Kamala Harris.""

Like Liz Cheney, Kinzinger has also been one of the most ardent critics of Trump. The former Illinois congressman appeared at the Democratic National Convention on Aug. 22 to urge Republicans to back Harris in November.

""Donald Trump has suffocated the soul of the Republican Party,"" he said. ""His fundamental weakness has coursed through my party like an illness.""

Kinzinger delivered a message to GOP voters to ""vote for our bedrock values and vote for Kamala Harris.""

Grisham was a White House press secretary under Trump and chief of staff to first lady Melania Trump before resigning on Jan. 6, 2021, when a mob of the former president's supporters violently breached the U.S. Capitol. She addressed the Democratic National Convention on its second night and lambasted Trump as having ""no empathy, no morals and no fidelity to the truth.""

""I love my country more than my party,"" Grisham said. ""Kamala Harris tells the truth. She respects the American people and she has my vote.""

Troye, who was an adviser to Pence, also addressed the Democratic National Convention to speak out against Trump and voice her support for Harris.

She said the Republican nominee's goal is ""to sow doubt and division,"" and characterized a vote for Harris as a vote for democracy.

""You're not betraying our party,"" she said of the GOP. ""You're standing up for our country.""

Scaramucci was White House communications director before he was ousted from the role in July 2017 after serving just 11 days. He has since criticized Trump and the GOP, calling it a ""Trumpist party"" in an interview with the Australian Broadcasting Corporation.

""Kamala Harris is capable and has a great team,"" he said in a July social media post.

Duncan was Georgia's lieutenant governor and split with Trump over his efforts to overturn the results of the 2020 election. He, too, delivered remarks at the Democratic National Convention to urge his fellow Republicans to support Harris in the presidential election.

""To my fellow Republicans at home that want to pivot back toward policy, empathy and tone: You know the right thing to do. Now let's have the courage to do it in November,"" Duncan said, calling Harris a ""steady hand."""
5,"CHICAGO -- For Christopher Pugh, the 2020 election was a turning point.

He already distrusted the government. But as he watched Fox News coverage in the immediate aftermath of the election and read posts on Twitter, the social media platform now known as X, that distrust grew. He now believes the falsehood that the 2020 election was stolen and trusts few people other than former President Donald Trump to deliver him news about election results.

""I trust Donald Trump, not the government,"" said the 38-year-old Republican from Gulfport, Miss. ""That's it.""

While most Americans trust government-certified election results at least a ""moderate"" amount, Republicans are more likely to trust Trump and his campaign, according to a new survey from the Associated Press-NORC Center for Public Affairs Research and USAFacts. Americans also are heading into the November election with concerns about misinformation. Many have low trust that the information they receive from presidential candidates -- particularly Trump, but also Vice President Kamala Harris -- is based on factual information.

Trump continues to lie about the outcome of the 2020 election, saying it was rigged against him even after dozens of his court challenges failed, reviews, recounts and audits in battleground states all affirmed President Joe Biden's win, and Trump's own attorney general said there was no evidence of widespread fraud. Despite no evidence of any widespread fraud, a 2023 poll found that most Republicans believe Biden was not legitimately elected president."
6,"Washington: Vice President Kamala Harris and former president Donald Trump are meeting for the first time face-to-face Tuesday night for perhaps their only debate. It is an opportunity to showcase their starkly different visions for the country after a tumultuous campaign summer.

The event, at 9 p.m. Eastern in Philadelphia, will offer Americans their most detailed look at a campaign that's dramatically changed since the last debate in June. It is imperative to mention President Joe Biden's withdrawal from the race and the assassination attempt on Trump.

Harris would want to show that she can press the Democratic case against Trump better than Biden did. Trump, in turn, is trying to paint the vice president as an out-of-touch liberal while trying to win over voters sceptical he should return to the White House.

Trump, 78, has struggled to adapt to Harris, 59, who is the first woman, Black person and person of South Asian descent to serve as vice president. The Republican former president has at times resorted to invoking racial and gender stereotypes, frustrating allies who want Trump to focus instead on policy differences with Harris.

The Vice President will attempt to take credit for the successes of the Biden administration while also confronting its failures and justifying her departure from the more liberal stances she adopted previously.

The debate presents a unique opportunity for sustained scrutiny of Harris, who has only participated in one formal interview over the last six weeks.

""If she performs great, it's going to be a nice surprise for the Democrats and they'll rejoice,"" said Ari Fleischer, a Republican communications strategist and former press secretary to President George W. Bush. ""If she flops, like Joe Biden did, it could break this race wide open. So there's more riding on it.""

Tim Hogan, who led Sen. Amy Klobuchar's debate preparations in the 2020 Democratic presidential primaries, said Harris, a former California attorney general, would bring a ""prosecutor's instincts to the debate stage.""

""That is a very strong quality in that setting: having someone who knows how to land a punch and how to translate it,"" Hogan said.

The initial early ballots for the presidential race are scheduled to be distributed shortly after the debate, which is hosted by ABC News. In Alabama, the dispatch of absentee ballots will commence on Wednesday.

Trump and his campaign have highlighted the far-left stances she adopted during her unsuccessful 2020 presidential campaign. He has received assistance in his informal debate preparation sessions from Tulsi Gabbard, the former Democratic congresswoman and presidential candidate who sharply criticized Harris during their primary debates.

Harris has sought to defend her shifts away from liberal causes to more moderate stances on fracking, expanding Medicare for all and mandatory gun buyback programs -- and even backing away from her position that plastic straws should be banned -- as pragmatism, insisting that her ""values remain the same."" Her campaign on Monday published a page on its website listing her positions on key issues.

The ex-president has contended that a Harris presidency would endanger the nation's safety, emphasizing that Biden selected her to manage the surge of migrants. This assertion aligns with the Republican's renewed focus on immigration and unauthorized residents in his campaign rhetoric. He aims to depict a Harris presidency as an extension of Biden's administration, which remains unpopular, especially regarding its economic policies, as the electorate continues to experience the effects of inflation despite its recent decline.

Trump's team insist his tone won't be any different facing a female opponent.

""President Trump is going to be himself,"" senior adviser Jason Miller told reporters during a phone call Monday.

Gabbard, who was also on the call, added that Trump ""respects women and doesn't feel the need to be patronizing or to speak to women in any other way than he would speak to a man.""

His advisers suggest Harris has a tendency to express herself in a ""word salad"" of meaningless phrases, prompting Trump to say last week that his debate strategy was to ""let her talk.""

The former president frequently plows into rambling remarks that detour from his policy points. He regularly makes false claims about the last election, attacks a lengthy list of enemies and opponents working against him, offers praise for foreign strongmen and comments about race, like his false claim in July that Harris recently ""happened to turn Black.""

The Vice President, known as the most vocal advocate for abortion access within the Biden administration after the Supreme Court's reversal of Roe v. Wade in 2022, is anticipated to highlight Trump's contradictory positions on women's reproductive health, including his declaration to support Florida's six-week abortion ban in the upcoming statewide referendum this autumn.

Additionally, Harris aims to present herself as a more reliable leader for the country and its alliances while conflicts persist in Ukraine following over two years of Russian aggression, and as the prolonged war between Israel and Hamas in Gaza continues without a foreseeable conclusion.

She is expected to caution that Trump poses a danger to democracy, citing his efforts in 2020 to reverse his electoral defeat, which incited his supporters to assault the U.S. Capitol on January 6, 2021, and his recent remarks. Last weekend, Trump disseminated another vengeful message on social media, vowing to incarcerate ""those engaged in dishonest conduct,"" encompassing lawyers, political strategists, contributors, voters, and electoral officials if he is victorious.

Harris has spent the better part of the last five days ensconced in debate preparations in Pennsylvania, where she participated in hours-long mock sessions with a Trump stand-in. Ahead of the debate, she told radio host Rickey Smiley that she was workshopping how to respond if Trump lies.

""There's no floor for him in terms of how low he will go,"" she said."
7,"SANTA BARBARA COUNTY, Calif. - The debate between former President Donald Trump and Vice President Kamala Harris may actually only impact a small percentage of the voters, since national polls say most voters have made up their minds.

That doesn't mean the meeting of the candidates won't be of the highest interest to audiences on TV and radio who tune in, but it will more likely reinforce their decisions now going into the voting cycle beginning with the arrival of the ballots in early October for the November 5th election.

The polls show there's still enough voters who are undecided to change the outcome in a tight race, which is what it is shaping up to be.

Central Coast voters will no doubt be as focused on the event and outcome as the rest of the country.

Some spoke to Your News Channel's Tracy Lehr Monday night saying that they will be tuned in, but it is still to be seen if they are going to vote differently based on what the answers are to questions from a news panel.

Harris and Trump will have 90 minutes to cover topics including the economy, immigration, gun control and world crisis points.

(More details, photos and videos will be added here later today.)"
8,"WASHINGTON (OSV News) -- As former President Donald Trump and Vice President Kamala Harris prepared for their first debate of the 2024 presidential cycle, their party platforms shed light on some key areas of difference between the candidates' policy agendas.

Although the debate will be the first between the pair, it is not the first debate of the 2024 presidential election cycle. President Joe Biden ended his reelection bid in July after a disastrous debate performance the previous month that polls showed solidified voters' concerns about his ability to serve a second term and his age. Harris shifted from the vice presidential candidate to the top of the ticket with Biden's endorsement the same day he announced his decision and formally securing her party's nomination in a matter of weeks.

Questions remain about where Harris' policy positions would differ from the Biden administration if she would become the 47th president. At its August convention, the Democratic Party rolled out a new platform, with some significant changes from previous iterations. The party's pivot to Harris occurred on a short timeline, evident in its 2024 platform, which references ""a second Biden term.""

Likewise, the Republican Party also unveiled a platform at its July convention, the first such document directly overseen by Trump.

Hosffman Ospino, a professor of theology and religious education at Boston College who researches the dialogue between faith and culture as well as Hispanic Catholics, told OSV News that ""taken side by side, both platforms offer starkly different pictures of a nation that ironically has served as home for both Democrats, Republicans and others for many generations.""

""Anyone who takes the time to read them may conclude that there is no common good in our nation,"" Ospino said. ""I refuse to believe that such is the case.""

Ospino said each party ""seems to be envisioning a very different country.""

""Immigration, labor conditions, racial equality, climate concerns, religious freedom, access to basic social services, safety and the guarantee that the judicial system is always fair, among others, are life-or-death realities for most people living in the United States,"" he said. ""Neither platform is completely satisfactory, yet Christian citizens have an obligation to consider each platform from the perspective of the impact that it can have in the lives of most rather than on the individual benefits that they can generate to the few. It is the least we can do as people who proclaim that the most important commandment is love.""

Ospino offered critiques of both platforms, arguing the Republican platform ""demonizes and threatens the well-being of immigrants and their families, scapegoating a population that is making major contributions to the building of this nation,"" while the Democratic platform falls ""mightily short"" from its pledge of social justice ""by choosing silence on the death penalty, making of abortion a political flag rather than speaking about creating conditions for every human life to be respected at every stage.""

Stephen Schneck, a Catholic activist and retired Catholic University of America professor, argued in comments to OSV News that ""the Democratic Party has long been the party of those struggling to achieve the American dream, those living paycheck to paycheck, those who are still working for the rights and equality promised by the Constitution. It's no surprise that the 2024 platform reflects that tradition.""

""Both American political parties fall short of the ideal for political life envisioned in the church's magisterium,"" Schneck said, arguing it is difficult to ""measure a political platform against that.""

""Still, I do appreciate the Democratic platform's greater emphasis on lifting up the most vulnerable in our society and its emphasis on what we Catholics would call 'care for creation,'"" he argued.

The Democratic platform states the party's position on expanding access to abortion and comes as Harris has made increasing access to abortion a key part of her presidential campaign.

The document states the party will oppose ""extreme and dangerous abortion bans"" and that it is ""committed to restoring the reproductive rights Trump ripped away.""

""With a Democratic Congress, we will pass national legislation to make Roe the law of the land again,"" it said.

But in July, members of the Republican National Committee, at the direction of Trump, removed a long-standing call for federal restrictions on abortion after 20 weeks over the objections of pro-life activists who previously asked delegates not to strip the call from the platform. That ban would have attempted to protect nationally about 1% of unborn children who are victims of abortion annually. Pro-life activists were critical of that change, but Marjorie Dannenfelser, president of Susan B. Anthony Pro-Life America, argued in a July statement that ""the Republican Party remains strongly pro-life at the national level.""

""It is important that the GOP reaffirmed its commitment to protect unborn life today through the 14th Amendment,"" she said. ""Under this amendment, it is Congress that enacts and enforces its provisions.""

Schneck said that ""as a pro-life Democrat I oppose abortion, but am heartened by the platform's promotion of expansive policies for maternal care and strengthened support for early childhood health and education.""

Among other changes to the Democratic agenda was the elimination of a call to end the federal death penalty. The 2020 version of the party's platform stated, ""Democrats continue to support abolishing the death penalty,"" but the 2024 version makes no mention of the practice.

Asked about the removal of the call to end the death penalty from the Democratic Party's platform, Krisanne Vaillancourt Murphy, executive director of the Catholic Mobilizing Network, a group that opposes capital punishment, told OSV News, ""What we know about the federal death penalty is this: it's fallible, expensive and racially biased. Just like state-level capital punishment, federal executions do not make communities safer and they do not deter future instances of crime.""

""As Catholics, we are called to oppose the death penalty in all instances and at every level,"" she said, citing recent writing by Pope Francis, in which the pontiff said, ""Capital executions, far from bringing justice, fuel a sense of revenge that becomes a dangerous poison for the body of our civil societies. ... Indeed, the Jubilee should commit all believers to collectively call for the abolition of the death penalty.""

Vaillancourt Murphy added, ""The federal death penalty has no place in our society. We continue to work with steadfastness for its abolition.""

On immigration, the Democratic platform calls for expanding legal immigration and deterring illegal border crossings.

""A robust immigration system with accessible lawful pathways and penalties for illegal immigration alleviates pressure at the border and upholds our values,"" it stated.

The platform also endorsed the U.S. Citizenship Act, which it said if passed ""would permanently increase family-sponsored and employment-based immigration.""

The RNC platform calls for mass deportations, stating, ""We must deport the millions of illegal Migrants who Joe Biden has deliberately encouraged to invade our Country,"" and lists ""SEAL THE BORDER, AND STOP THE MIGRANT INVASION"" as among promises for a second Trump term.

However, the platform's call for mass deportations runs contrary to the Second Vatican Council's teaching in ""Gaudium et Spes"" condemning ""deportation"" among other actions, such as abortion, that ""poison human society,"" a teaching St. John Paul II affirmed in two encyclicals on moral truth and life issues respectively: ""Veritatis Splendor"" (1993) and ""Evangelium Vitae"" (1995).

The Democratic platform pledged that ""Democrats will protect the First Amendment right to free exercise of religion for everyone, and we will maintain the separation of church and state.""

It argued that in contrast, ""the Trump Administration attacked religious freedom by demonizing some faiths and preferring others.""

""We will advocate for religious freedom across the world,"" it said. ""And, we will continue to honor both religious freedom and other civil rights, not put them at war with one another.""

The Republican platform stated, ""We are the defenders of the First Amendment Right to Religious Liberty. It protects the Right not only to Worship according to the dictates of Conscience, but also to act in accordance with those Beliefs, not just in places of Worship, but in everyday life.""

The document also said, ""Our ranks include men and women from every Faith and Tradition, and we respect the Right of every American to follow his or her deeply held Beliefs,"" but said Republicans support ""a new Federal Task Force on Fighting Anti-Christian Bias that will investigate all forms of illegal discrimination, harassment, and persecution against Christians in America."""
9,"Ohio Sen. JD Vance, the GOP vice presidential nominee, says he wouldn't have certified the 2020 election -- had he been in then-Vice President Mike Pence's position on Jan. 6, 2021 -- until states where then-President Donald Trump and Republicans falsely claimed there was massive electoral fraud submitted ""alternative slates"" of Electoral College electors.

There is no provision in the Constitution for such a scenario and Trump allies are being prosecuted in Michigan, Nevada, Wisconsin, Arizona and Georgia for attempting to replace those states' Electoral College votes for now-President Joe Biden with ones for Trump. The alleged fake electors scheme is a key part of the racketeering prosecution against Trump and several allies in Georgia and in a federal criminal case brought by Justice Department special counsel Jack Smith in Washington.

""I would have asked the states to submit alternative slates of electors and let the country have the debate about what actually matters and what kind of an election that we had,"" Vance said on the venture capitalist podcast ""All-In"" on Monday in Los Angeles. ""I would have asked the states to submit alternative slates. That's what I would have done. Again, I've said that publicly many times.""

The Ohio Republican was asked by host Jason Calacanis, a tech entrepreneur, four times if he would have ""certified the election"" had he been in Pence's position. Four times he declined to say he would. Pence, who was whisked away by Secret Service alongside his wife and daughter as a violent mob of Trump supporters stormed the U.S. Capitol as he oversaw the certification of the Electoral College vote, has said he will not support Trump in 2024.

""I think, in reality, that if Donald Trump wanted to start a nuclear war with Russia, Mike Pence would be at the front of line endorsing him right now,"" Vance charged. ""And fundamentally, the reason the old guard of the Republican Party hates Donald Trump, it's not because of January the sixth, 2021, whatever your views on it, it's because Donald Trump doesn't think that we should start stupid wars in foreign countries, and that's why they all hate him.""

Vance has long questioned the legitimacy of the 2020 presidential election, for which no evidence of widespread issues or fraud has ever been found despite years of legal challenges and baseless accusations by Trump and his allies. Dozens of judges and local election officials across the country, including many Republicans, have affirmed the results as legitimate.

In February, Vance said on ABC News ""if I had been vice president, I would have told the states, like Pennsylvania, Georgia and so many others, that we needed to have multiple slates of electors and I think the U.S. Congress should have fought over it from there."" He said similarly in an interview with New York Times columnist Ross Douthat in June.

""The important part is we would have had a big debate. And it doesn't necessarily mean the results would have been any different, but we at least would have had the debate in Pennsylvania and Georgia about how to better have a rational election system where legal ballots are cast,"" Vance said on Monday, naming two states Biden won in 2020. ""Let's talk about Jan. 6 for the next 45 minutes. I'm sure it's the most important thing going on in the country right now.""

Trump said last week he had ""every right"" to attempt to overturn the 2020 election after losing to Biden.

Vice President Kamala Harris' campaign slammed Vance for his comments, warning Trump and Vance are conspiring to seize ""unchecked power.""

""The Trump-Vance ticket is spending the days before the debate ratcheting up their dangerous lies, the same lies that inspired a mob to attack the Capitol and try to overturn the 2020 election,"" Harris campaign spokesperson Ammar Moussa said in a statement. ""Donald Trump is telling us exactly what he will do if he wins - with the help of his Supreme Court justices, he'll implement his Project 2025 playbook to give himself virtually unlimited, unchecked power and go after his political enemies. Trump's campaign is solely about himself and his revenge and retribution.""

Trump has pledged to purge the federal bureaucracy and replace career civil servants with conservative loyalists, pardon those imprisoned for crimes committed during the Jan. 6, 2021, attack, and imprison his political enemies if he returns to power. In a speech to the Fraternal Order of Police last week, Trump encouraged police to ""watch for voter fraud"" so ""we can keep the cheating to a minimum,"" statements the Harris campaign said amount to ""directing police officers to intimidate election workers and voters."""
10,"ATLANTA, Ga. (Atlanta News First) - Tuesday night's debate between the 45th president of the United States and the nation's 49th vice president might be the only time Donald Trump and Kamala Harris meet face to face this election season.

That's just another reason why tens of millions of Americans are expected to watch the 9 p.m. debate from the city where, almost 250 years ago, the nation's independence was first coined into words: Philadelphia.

Here's everything you need to know about tonight's debate, with the most important piece of information right up front:

You can watch tonight's debate on here, on Atlanta News First and on the ANF+ streaming app (search Atlanta News First anywhere you stream).

Former President Donald Trump, the Republican nominee for president, and Vice President Kamala Harris, the Democratic nominee.

Well, Trump is trying to become the first ex-president in history to be elected to the same job after being defeated in his first reelection bid since Grover Cleveland did so back in the 19th century. Trump is also the first convicted felon ever to seek the presidency.

Trump is also seeking to become the first-ever twice-impeached president to reclaim the Oval Office.

On the other side of the stage is Harris, the first woman of color to ever secure a major political party's White House nomination. She's also the nation's first woman and person of color to hold the vice presidency.

You really have been under a rock, haven't you? Biden dropped out of the race after he turned in a disastrous debate performance in late June against Trump in Atlanta.

9 pm EST, 8 pm CST, 7 pm MT, 6 pm PT, or 1 am GMT, if you're into that sort of thing.

The National Constitution Center in Philadelphia. Pennsylvania is expected to be a battleground state in November's presidential election. Georgia - another battleground state - was home to the last presidential debate, back when Biden was still in the race.

""World News Tonight"" anchor David Muir and ABC News Live ""Prime"" anchor Linsey Davis.

The Tuesday night debate -- hosted by ABC News at Philadelphia's National Constitution Center -- has become the first showdown between Harris and Trump, who both agreed to move forward with it after weeks of back-and-forth about its specifics.

According to CBS News, a coin flip determined where Trump and Harris will stand on stage and the order of closing statements.

Trump won the coin toss and chose to give the last closing statement. Harris selected the lectern on the left of the stage, meaning viewers will see her on the right side of their screens.

The campaigns and the network were hashing out the final rules in the days leading up to the debate. The final sticking point was over the microphones.

Harris' campaign wanted both microphones unmuted for the entire event. Trump's team wanted a candidate's microphone to be muted when their opponent is speaking -- a rule the Biden campaign requested during the last debate. The Harris campaign ultimately relented.

Candidates will have two minutes each for their closing statements. There are no opening statements. They will have two minutes to answer moderators' questions, two minutes for rebuttals and an extra minute for follow-ups or clarifications.

Harris and Trump will not be allowed to bring prewritten notes on stage, but will have a pen, notepad and bottle of water at their lecterns.

Campaign staff cannot interact with candidates during the commercial breaks, and there will be no live audience.

ABC has allowed other networks to simulcast the debate. It will air on a number of broadcast and cable networks, including Atlanta News First (CBS) and on the Atlanta News First app."
