Date,Voice,Party,AverageVotes,avg_sentiment,No_News
2024-08-13,Anonymous,Democratic,306,-0.138197,100
2024-08-13,Anonymous,Republican,232,-0.138197,100
2024-08-14,Anonymous,Democratic,306,0.128009,100
2024-08-14,Anonymous,Republican,232,0.128009,100
2024-08-15,Anonymous,Democratic,306,0.063372,100
2024-08-15,Anonymous,Republican,232,0.063372,100
2024-08-16,Anonymous,Democratic,315,0.136406,100
2024-08-16,Anonymous,Republican,223,0.136406,100
2024-08-17,Anonymous,Democratic,314,0.053172,100
2024-08-17,Anonymous,Republican,224,0.053172,100
2024-08-18,Anonymous,Democratic,316,0.008784000000000004,100
2024-08-18,Anonymous,Republican,222,0.008784000000000004,100
2024-08-19,Anonymous,Democratic,308,0.137491,100
2024-08-19,Anonymous,Republican,230,0.137491,100
2024-08-20,Anonymous,Democratic,289,0.09153599999999999,100
2024-08-20,Anonymous,Republican,249,0.09153599999999999,100
2024-08-21,Anonymous,Democratic,310,0.095619,100
2024-08-21,Anonymous,Republican,228,0.095619,100
2024-08-22,Anonymous,Democratic,296,0.147776,100
2024-08-22,Anonymous,Republican,242,0.147776,100
2024-08-23,Anonymous,Democratic,305,0.204698,100
2024-08-23,Anonymous,Republican,233,0.204698,100
2024-08-24,Anonymous,Democratic,267,0.115295,100
2024-08-24,Anonymous,Republican,271,0.115295,100
2024-08-25,Anonymous,Democratic,275,0.059226,100
2024-08-25,Anonymous,Republican,263,0.059226,100
2024-08-26,Anonymous,Democratic,260,0.096233,100
2024-08-26,Anonymous,Republican,278,0.096233,100
2024-08-27,Anonymous,Democratic,305,0.030347999999999997,100
2024-08-27,Anonymous,Republican,233,0.030347999999999997,100
2024-08-28,Anonymous,Democratic,310,0.149032,100
2024-08-28,Anonymous,Republican,228,0.149032,100
2024-08-29,Anonymous,Democratic,304,0.100158,100
2024-08-29,Anonymous,Republican,234,0.100158,100
2024-08-30,Anonymous,Democratic,297,-0.23583600000000002,100
2024-08-30,Anonymous,Republican,241,-0.23583600000000002,100
2024-08-31,Anonymous,Democratic,269,0.050749,100
2024-08-31,Anonymous,Republican,269,0.050749,100
2024-09-01,Anonymous,Democratic,270,0.015378000000000001,100
2024-09-01,Anonymous,Republican,268,0.015378000000000001,100
2024-09-02,Anonymous,Democratic,310,0.043531,100
2024-09-02,Anonymous,Republican,228,0.043531,100
2024-09-03,Anonymous,Democratic,305,0.224706,100
2024-09-03,Anonymous,Republican,233,0.224706,100
2024-09-04,Anonymous,Democratic,288,0.065104,100
2024-09-04,Anonymous,Republican,250,0.065104,100
2024-09-05,Anonymous,Democratic,304,0.020077,100
2024-09-05,Anonymous,Republican,234,0.020077,100
2024-09-06,Anonymous,Democratic,310,-0.18604400000000001,100
2024-09-06,Anonymous,Republican,228,-0.18604400000000001,100
2024-09-07,Anonymous,Democratic,305,0.028306999999999995,100
2024-09-07,Anonymous,Republican,233,0.028306999999999995,100
2024-09-08,Anonymous,Democratic,315,0.059847,100
2024-09-08,Anonymous,Republican,223,0.059847,100
2024-09-09,Anonymous,Democratic,303,-0.024671153846153846,104
2024-09-09,Anonymous,Republican,235,-0.024671153846153846,104
2024-09-10,Anonymous,Democratic,263,0.052937,100
2024-09-10,Anonymous,Republican,275,0.052937,100
2024-09-11,Anonymous,Democratic,312,0.249654,100
2024-09-11,Anonymous,Republican,226,0.249654,100
2024-09-12,Anonymous,Democratic,305,0.415852,100
2024-09-12,Anonymous,Republican,233,0.415852,100
2024-09-13,Anonymous,Democratic,298,0.055065,100
2024-09-13,Anonymous,Republican,240,0.055065,100
2024-09-14,Anonymous,Democratic,317,0.122513,100
2024-09-14,Anonymous,Republican,221,0.122513,100
2024-09-15,Anonymous,Democratic,316,0.177178,100
2024-09-15,Anonymous,Republican,222,0.177178,100
2024-09-16,Anonymous,Democratic,316,0.162661,100
2024-09-16,Anonymous,Republican,222,0.162661,100
2024-09-17,Anonymous,Democratic,316,-0.002890000000000003,100
2024-09-17,Anonymous,Republican,222,-0.002890000000000003,100
2024-09-18,Anonymous,Democratic,318,0.12109400000000001,100
2024-09-18,Anonymous,Republican,220,0.12109400000000001,100
2024-09-19,Anonymous,Democratic,320,0.044624,100
2024-09-19,Anonymous,Republican,218,0.044624,100
2024-09-20,Anonymous,Democratic,321,0.051529,100
2024-09-20,Anonymous,Republican,217,0.051529,100
2024-09-21,Anonymous,Democratic,318,0.07308888888888888,100
2024-09-21,Anonymous,Republican,220,0.07308888888888888,100
2024-09-22,Anonymous,Democratic,318,0.090898,100
2024-09-22,Anonymous,Republican,220,0.090898,100
2024-09-23,Anonymous,Democratic,320,0.103454,100
2024-09-23,Anonymous,Republican,218,0.103454,100
2024-09-24,Anonymous,Democratic,319,0.027053,100
2024-09-24,Anonymous,Republican,219,0.027053,100
2024-09-25,Anonymous,Democratic,316,0.118505,100
2024-09-25,Anonymous,Republican,222,0.118505,100
2024-09-26,Anonymous,Democratic,320,0.043932,100
2024-09-26,Anonymous,Republican,218,0.043932,100
2024-09-27,Anonymous,Democratic,317,0.040547,100
2024-09-27,Anonymous,Republican,221,0.040547,100
2024-09-28,Anonymous,Democratic,297,0.04408,100
2024-09-28,Anonymous,Republican,241,0.04408,100
2024-08-13,BBC,Democratic,309,-0.138197,100
2024-08-13,BBC,Republican,229,-0.138197,100
2024-08-14,BBC,Democratic,307,0.128009,100
2024-08-14,BBC,Republican,231,0.128009,100
2024-08-15,BBC,Democratic,307,0.063372,100
2024-08-15,BBC,Republican,231,0.063372,100
2024-08-16,BBC,Democratic,315,0.136406,100
2024-08-16,BBC,Republican,223,0.136406,100
2024-08-17,BBC,Democratic,316,0.053172,100
2024-08-17,BBC,Republican,222,0.053172,100
2024-08-18,BBC,Democratic,315,0.008784000000000004,100
2024-08-18,BBC,Republican,223,0.008784000000000004,100
2024-08-19,BBC,Democratic,309,0.137491,100
2024-08-19,BBC,Republican,229,0.137491,100
2024-08-20,BBC,Democratic,293,0.09153599999999999,100
2024-08-20,BBC,Republican,245,0.09153599999999999,100
2024-08-21,BBC,Democratic,317,0.095619,100
2024-08-21,BBC,Republican,221,0.095619,100
2024-08-22,BBC,Democratic,295,0.147776,100
2024-08-22,BBC,Republican,243,0.147776,100
2024-08-23,BBC,Democratic,305,0.204698,100
2024-08-23,BBC,Republican,233,0.204698,100
2024-08-24,BBC,Democratic,263,0.115295,100
2024-08-24,BBC,Republican,275,0.115295,100
2024-08-25,BBC,Democratic,278,0.059226,100
2024-08-25,BBC,Republican,260,0.059226,100
2024-08-26,BBC,Democratic,266,0.096233,100
2024-08-26,BBC,Republican,272,0.096233,100
2024-08-27,BBC,Democratic,303,0.030347999999999997,100
2024-08-27,BBC,Republican,235,0.030347999999999997,100
2024-08-28,BBC,Democratic,312,0.149032,100
2024-08-28,BBC,Republican,226,0.149032,100
2024-08-29,BBC,Democratic,305,0.100158,100
2024-08-29,BBC,Republican,233,0.100158,100
2024-08-30,BBC,Democratic,290,-0.23583600000000002,100
2024-08-30,BBC,Republican,248,-0.23583600000000002,100
2024-08-31,BBC,Democratic,255,0.050749,100
2024-08-31,BBC,Republican,283,0.050749,100
2024-09-01,BBC,Democratic,258,0.015378000000000001,100
2024-09-01,BBC,Republican,280,0.015378000000000001,100
2024-09-02,BBC,Democratic,312,0.043531,100
2024-09-02,BBC,Republican,226,0.043531,100
2024-09-03,BBC,Democratic,308,0.224706,100
2024-09-03,BBC,Republican,230,0.224706,100
2024-09-04,BBC,Democratic,293,0.065104,100
2024-09-04,BBC,Republican,245,0.065104,100
2024-09-05,BBC,Democratic,301,0.020077,100
2024-09-05,BBC,Republican,237,0.020077,100
2024-09-06,BBC,Democratic,310,-0.18604400000000001,100
2024-09-06,BBC,Republican,228,-0.18604400000000001,100
2024-09-07,BBC,Democratic,309,0.028306999999999995,100
2024-09-07,BBC,Republican,229,0.028306999999999995,100
2024-09-08,BBC,Democratic,316,0.059847,100
2024-09-08,BBC,Republican,222,0.059847,100
2024-09-09,BBC,Democratic,304,-0.024671153846153846,104
2024-09-09,BBC,Republican,234,-0.024671153846153846,104
2024-09-10,BBC,Democratic,264,0.052937,100
2024-09-10,BBC,Republican,274,0.052937,100
2024-09-11,BBC,Democratic,319,0.249654,100
2024-09-11,BBC,Republican,219,0.249654,100
2024-09-12,BBC,Democratic,308,0.415852,100
2024-09-12,BBC,Republican,230,0.415852,100
2024-09-13,BBC,Democratic,293,0.055065,100
2024-09-13,BBC,Republican,245,0.055065,100
2024-09-14,BBC,Democratic,319,0.122513,100
2024-09-14,BBC,Republican,219,0.122513,100
2024-09-15,BBC,Democratic,321,0.177178,100
2024-09-15,BBC,Republican,217,0.177178,100
2024-09-16,BBC,Democratic,318,0.162661,100
2024-09-16,BBC,Republican,220,0.162661,100
2024-09-17,BBC,Democratic,319,-0.002890000000000003,100
2024-09-17,BBC,Republican,219,-0.002890000000000003,100
2024-09-18,BBC,Democratic,320,0.12109400000000001,100
2024-09-18,BBC,Republican,218,0.12109400000000001,100
2024-09-19,BBC,Democratic,318,0.044624,100
2024-09-19,BBC,Republican,220,0.044624,100
2024-09-20,BBC,Democratic,316,0.051529,100
2024-09-20,BBC,Republican,222,0.051529,100
2024-09-21,BBC,Democratic,322,0.07308888888888888,100
2024-09-21,BBC,Republican,216,0.07308888888888888,100
2024-09-22,BBC,Democratic,321,0.090898,100
2024-09-22,BBC,Republican,217,0.090898,100
2024-09-23,BBC,Democratic,319,0.103454,100
2024-09-23,BBC,Republican,219,0.103454,100
2024-09-24,BBC,Democratic,316,0.027053,100
2024-09-24,BBC,Republican,222,0.027053,100
2024-09-25,BBC,Democratic,316,0.118505,100
2024-09-25,BBC,Republican,222,0.118505,100
2024-09-26,BBC,Democratic,326,0.043932,100
2024-09-26,BBC,Republican,212,0.043932,100
2024-09-27,BBC,Democratic,321,0.040547,100
2024-09-27,BBC,Republican,217,0.040547,100
2024-09-28,BBC,Democratic,287,0.04408,100
