uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,eventUri,sentiment,wgt,relevance,source.uri,source.dataType,source.title,image
8295040381,eng,False,2024-08-28,05:57:19,2024-08-28T05:57:19Z,2024-08-28T05:56:15Z,news,0.6314,https://davidsonian.com/2024/08/28/jack-smith-appeals-dismissal-of-trumps-classified-documents-case/,Jack Smith Appeals Dismissal of Trump's Classified Documents Case,"Special Counsel Jack Smith has filed an appeal with the U.S. 11th Circuit Court of Appeals, challenging U.S. District Judge Aileen Cannon's decision to dismiss the federal classified documents and ...",[],eng-9848780,-0.1922,462520639,1,davidsonian.com,news,The Davidsonian,
8295006070,eng,True,2024-08-28,05:28:06,2024-08-28T05:28:06Z,2024-08-28T05:27:38Z,news,0.0,https://1010wcsi.com/fox-politics/house-intel-chair-turner-says-biden-harris-response-on-iran-threat-to-election-is-dangerously-insufficient/,House Intel Chair Turner says Biden-Harris response on Iran threat to election is 'dangerously insufficient' - 1010 WCSI,"FIRST ON FOX: House Intelligence Committee Chairman Mike Turner is demanding President Biden take ""immediate and forceful action"" against Iran, calling his administration's response ""dangerously ...",[],,-0.1765,462518886,1,1010wcsi.com,news,1010 WCSI,https://1010wcsi.com/wp-content/uploads/2020/07/WCSI-header.png
8294992698,eng,True,2024-08-28,05:16:52,2024-08-28T05:16:52Z,2024-08-28T05:15:58Z,news,0.0,https://wfin.com/fox-political-news/house-intel-chair-turner-says-biden-harris-response-on-iran-threat-to-election-is-dangerously-insufficient/,House Intel Chair Turner says Biden-Harris response on Iran threat to election is 'dangerously insufficient' - WFIN Local News,"FIRST ON FOX: House Intelligence Committee Chairman Mike Turner is demanding President Biden take ""immediate and forceful action"" against Iran, calling his administration's response ""dangerously ...",[],,-0.1765,462518212,1,wfin.com,news,WFIN,https://wfin.com/wp-content/uploads/2018/03/WFIN-AM-FM-logo.png
8294992708,eng,False,2024-08-28,05:16:15,2024-08-28T05:16:15Z,2024-08-28T05:15:58Z,news,0.7333,https://wfin.com/fox-political-news/trump-indicted-a-second-time-in-election-subversion-case-brought-by-special-counsel-jack-smith/,Trump indicted a second time in election subversion case brought by special counsel Jack Smith - WFIN Local News,"Special Counsel Jack Smith on Tuesday filed another indictment against former President Trump over his alleged efforts to challenge the results of the 2020 presidential election, revising the charges ...",[],eng-9852234,0.2471,462518175,13,wfin.com,news,WFIN,https://wfin.com/wp-content/uploads/2018/03/WFIN-AM-FM-logo.png
8294992710,eng,True,2024-08-28,05:16:06,2024-08-28T05:16:06Z,2024-08-28T05:15:58Z,news,0.0,https://wfin.com/fox-political-news/fox-news-politics-build-the-red-wall/,Fox News Politics: Build the Red Wall - WFIN Local News,"Welcome to Fox News' Politics newsletter with the latest political news from Washington D.C. and updates from the 2024 campaign trail.

Republican vice presidential nominee Sen. JD Vance returns to ...",[],,0.2314,462518166,1,wfin.com,news,WFIN,https://wfin.com/wp-content/uploads/2018/03/WFIN-AM-FM-logo.png
8294976406,eng,False,2024-08-28,05:01:58,2024-08-28T05:01:58Z,2024-08-28T05:01:45Z,news,0.0,https://www.dukechronicle.com/article/2024/08/duke-university-trade-kamala-harris-donald-trump-trade-foreign-policy-china-tariff-import-tax-europe-election-presidential-preview-democrat-republican-november,Presidential Preview: Trade,"Editor's note: In advance of the 2024 presidential election, The Chronicle is breaking down each candidate's stance on priority issues, examining their platform and political history to keep voters in ...",[],,0.498,462517318,1,dukechronicle.com,news,The Chronicle,https://snworksceo.imgix.net/dtc/22ed0fe7-ce79-4b36-8863-36e281d8557f.sized-1000x1000.jpg?w=1000&ar=16%3B9&fit=crop&crop=faces&facepad=3&auto=format
8294936480,eng,False,2024-08-28,04:23:18,2024-08-28T04:23:18Z,2024-08-28T04:22:43Z,news,0.7451,https://uinterview.com/news/brittany-mahomes-says-fans-who-slammed-her-for-liking-a-trump-post-have-deep-rooted-issues/,Brittany Mahomes Says Fans Who Slammed Her For Liking A Trump Post Have 'Deep-Rooted Issues' - uInterview,"Brittany Mahomes responded to social media users who condemned her for liking a post on Donald Trump's Instagram account.

Last week, Mahomes' followers noticed that she liked a post on Trump's ...","{'uri': ['alessio_atria@uinterview.com'], 'name': ['Alessio Atria'], 'type': ['author'], 'isAgency': [False]}",eng-9848963,-0.0745,462514998,1,uinterview.com,news,uInterview,https://uinterview.com/wp-content/uploads/2024/02/Patrick_Mahomes_sr.-c.jpg
8294932713,eng,False,2024-08-28,04:19:22,2024-08-28T04:19:22Z,2024-08-28T04:19:13Z,news,0.7608,https://www.wionews.com/world/no-presidential-immunity-trump-reacts-after-new-indictment-over-jan-6-riots-753884,No presidential immunity? Trump reacts after new indictment over Jan 6 riots,"The Supreme Court wrote in its July ruling that Trump was ""absolutely immune from prosecution"" over his discussion with Justice Department officials.

The US Justice Department filed a new indictment ...",[],eng-9852234,0.1686,462514762,1,wionews.com,news,WION,https://cdn.wionews.com/sites/default/files/2024/08/22/450645-copy-of-untitled-83.png
2024-08-467973763,eng,False,2024-08-28,04:17:31,2024-08-28T04:17:31Z,2024-08-28T04:16:43Z,news,0.8157,https://www.nme.com/news/music/dnc-executive-producer-says-staff-thought-beyonce-was-going-to-appear-3788027,DNC executive producer says staff thought Beyoncé was going to appear,"""We have the biggest star, the Democratic nominee for president. Why would we overshadow that?""

An executive producer for the Democratic National Convention has revealed that members of staff at the ...","{'uri': ['surej_singh@nme.com'], 'name': ['Surej Singh'], 'type': ['author'], 'isAgency': [False]}",eng-9852052,0.0039,462514651,1,nme.com,news,"NME Music News, Reviews, Videos, Galleries, Tickets and Blogs | NME.COM",https://www.nme.com/wp-content/uploads/2024/08/beyonce@2000x1270.jpg
2024-08-467969614,eng,True,2024-08-28,04:10:09,2024-08-28T04:10:09Z,2024-08-28T02:00:03Z,news,0.0,https://www.kansascity.com/entertainment/article291574880.html,"Carole King, Elizabeth Warren Join Leaders Backing Swifties for Kamala","Taylor Swift fans are not waiting for the pop star to endorse a candidate in this presidential election.

Over 20,000 Swifties joined a Zoom webinar kickoff call with Swifties for Kamala Tuesday night ...",[],,0.4275,462514209,1,kansascity.com,news,The Kansas City Star,https://www.mcclatchy-wires.com/incoming/vl5g5e/picture291574830/alternates/LANDSCAPE_1140/931a1ac5-7c8f-4ad3-99dd-8bafb5384688
