uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,eventUri,sentiment,wgt,relevance,source.uri,source.dataType,source.title,feed date
8277796545,eng,False,2024-08-16,15:32:12,2024-08-16T15:32:12Z,2024-08-16T15:30:57Z,news,0.7059,https://dnyuz.com/2024/08/16/georgia-election-official-under-pressure-in-defamation-case/,Georgia Election Official Under Pressure in Defamation Case,"Brad Raffensperger, Georgia's Republican secretary of state, has been forced to spend half a million dollars defending himself in court for having stood up to former President Donald J. Trump's ...",[],https://dnyuz.com/wp-content/uploads/2024/08/Georgia-Election-Official-Under-Pressure-in-Defamation-Case.jpg,eng-9822898,-0.1529,461518332,1,dnyuz.com,news,DNyuz,2020
8277758288,eng,False,2024-08-16,15:03:58,2024-08-16T15:03:58Z,2024-08-16T15:03:28Z,news,0.5961,https://www.engadget.com/general/fbi-says-iranian-hackers-are-targeting-both-presidential-campaigns-150019590.html,FBI says Iranian hackers are targeting both presidential campaigns,"Feds say at least one person in Trump's camp fell victim to their phishing scheme.

A phishing campaign that the FBI believes is linked to Iran has been targeting members of the Trump and Harris camps ...",[],https://s.yimg.com/ny/api/res/1.2/NKsm8kj8AXPr9NvyCJFGpA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://s.yimg.com/os/creatr-uploaded-images/2024-03/756ae460-e0eb-11ee-b797-f12af1d51abd,eng-9818069,-0.2941,461516638,1,engadget.com,news,engadget,2020
8277756242,eng,False,2024-08-16,15:03:26,2024-08-16T15:03:26Z,2024-08-16T15:02:03Z,news,0.0,https://www.lgbtqnation.com/2024/08/rep-robert-garcia-believes-radical-queerness-compassion-can-help-win-the-2024-election/,"Rep. Robert Garcia believes ""radical"" queerness & compassion can help win the 2024 election - LGBTQ Nation","Rep. Robert Garcia (D-CA) understands the stakes of the upcoming election. He immigrated to the U.S. at age 5, became a U.S. citizen in his early 20s, tackled the COVID-19 epidemic as the youngest and ...","{'uri': ['daniel_villarreal@lgbtqnation.com'], 'name': ['Daniel Villarreal'], 'type': ['author'], 'isAgency': [False]}",https://abuwjaawap.cloudimg.io/v7/_lgbtqnation-assets_/assets/2024/08/gettyimages-2079164957-scaled.jpg?auto=format&auto=compress&fit=crop&gravity=smart&w=1200&h=630,,0.0431,461516606,1,lgbtqnation.com,news,LGBTQ Nation,2020
2024-08-456321152,eng,False,2024-08-16,14:36:44,2024-08-16T14:36:44Z,2024-08-16T14:30:00Z,news,0.0,https://thehill.com/opinion/international/4830219-justice-for-belarus/,Justice for Belarus,"Alexander Lukashenko, the authoritarian leader of Belarus, has never been held to account for perpetrating massive human rights violations after the country's fraudulent presidential election on Aug. ...","{'uri': ['opinion_contributors@thehill.com'], 'name': ['Opinion Contributors'], 'type': ['author'], 'isAgency': [False]}",https://thehill.com/wp-content/uploads/sites/2/2024/08/GettyImages-1962852315-e1723754160552.jpg?strip=1&w=640,,-0.0588,461515004,1,thehill.com,news,The Hill,2020
2024-08-456293406,eng,False,2024-08-16,14:06:04,2024-08-16T14:06:04Z,2024-08-16T14:00:58Z,news,0.5647,https://eu.vcstar.com/story/news/nation/california/2024/08/16/dnc-2024-how-to-watch-stream-live-and-speaker-list/74772397007/,When does the DNC start? Here's where you can watch the Democratic National Convention,"The Democratic National Convention is set to arrive in Illinois in just one week and security preparations will soon be underway.

Less than three months from the U.S. presidential election is the ...","{'uri': ['ventura_county_star@vcstar.com'], 'name': ['Ventura County Star'], 'type': ['author'], 'isAgency': [False]}","https://www.gannett-cdn.com/authoring/authoring-images/2024/08/14/USAT/74795544007-afp-2165777389.jpg?auto=webp&crop=5011,2819,x0,y261&format=pjpg&width=1200",eng-9820865,0.0745,461513164,1,vcstar.com,news,Ventura County Star,2020
8277657735,eng,True,2024-08-16,13:51:50,2024-08-16T13:51:50Z,2024-08-16T13:50:21Z,news,0.0,https://keyt.com/politics/cnn-us-politics/2024/08/16/fact-check-trump-makes-more-than-20-false-claims-at-news-conference-2/,Fact check: Trump makes more than 20 false claims at news conference,"Washington (CNN) -- Former President Donald Trump held a news conference on Thursday in which he continued to be highly dishonest - again making more than 20 false claims, as he also did in his Monday ...",[],https://keyt.b-cdn.net/2024/08/cnn-L19jb21wb25lbnRzL2ltYWdlL2luc3RhbmNlcy9jbHp3MG5pZHEwMDE4MzU2a3VrNHNvZXBj-L19jb21wb25lbnRzL2FydGljbGUvaW5zdGFuY2VzL2NsencwYXE0dTAwMG1menFuOTRnOGRjYjI-860x573.jpg,,-0.2706,461512310,1,keyt.com,news,NewsChannel 3-12,2020
2024-08-456264367,eng,True,2024-08-16,13:36:48,2024-08-16T13:36:48Z,2024-08-16T12:45:47Z,news,0.0,https://kion546.com/politics/cnn-us-politics/2024/08/16/fact-check-trump-makes-more-than-20-false-claims-at-news-conference-2/,Fact check: Trump makes more than 20 false claims at news conference - KION546,"Washington (CNN) -- Former President Donald Trump held a news conference on Thursday in which he continued to be highly dishonest - again making more than 20 false claims, as he also did in his Monday ...",[],https://kion546.b-cdn.net/2024/08/WG8VxlUN-cnn-L19jb21wb25lbnRzL2ltYWdlL2luc3RhbmNlcy9jbHp3MG5pZHEwMDE4MzU2a3VrNHNvZXBj-L19jb21wb25lbnRzL2FydGljbGUvaW5zdGFuY2VzL2NsencwYXE0dTAwMG1menFuOTRnOGRjYjI-860x573.jpg,,-0.2863,461511408,1,kion546.com,news,KION546,2020
8277616679,eng,True,2024-08-16,13:21:08,2024-08-16T13:21:08Z,2024-08-16T13:20:26Z,news,0.0,https://www.gpb.org/news/2024/08/16/raffensperger-blasts-proposed-rule-requiring-hand-count-of-ballots-at-georgia,Raffensperger blasts proposed rule requiring hand count of ballots at Georgia polling places,"Georgia's secretary of state on Thursday came out against election rule changes pending before the State Election Board, specifically rejecting a proposal to count ballots by hand at polling places on ...","{'uri': ['associated_press@gpb.org'], 'name': ['Associated Press'], 'type': ['author'], 'isAgency': [False]}",https://www.gpb.org/sites/default/files/styles/three_two_702x468/public/2024-01/bradraffensperger_.jpg?h=c7ddac03&itok=slwzRwcL,,0.0588,461510468,1,gpb.org,news,Georgia Public Broadcasting,2020
8277593929,eng,False,2024-08-16,13:05:15,2024-08-16T13:05:15Z,2024-08-16T13:04:31Z,news,0.8627,https://floridapolitics.com/archives/689315-matt-gaetz-faces-a-kevin-mccarthy-backed-challenge-from-aaron-dimmock/,Matt Gaetz faces a Kevin McCarthy-backed challenge from Aaron Dimmock,"Scandals follow the incumbent, but GOP voters in CD 1 have stood by him before.

Throughout his congressional tenure, U.S. Rep. Matt Gaetz vexed leadership. But an ouster of a sitting House Speaker ...","{'uri': ['jacob_ogles@floridapolitics.com'], 'name': ['Jacob Ogles'], 'type': ['author'], 'isAgency': [False]}",https://floridapolitics.com/wp-content/uploads/2024/07/gaetz-Dimmock.jpg,eng-9821531,-0.0745,461509515,1,floridapolitics.com,news,Florida Politics - Campaigns & Elections. Lobbying & Government.,2020
8277591976,eng,False,2024-08-16,13:03:43,2024-08-16T13:03:43Z,2024-08-16T13:03:09Z,news,0.0,http://wnax.com/news/180081-august-16-2024-news-round-up/,"August 16, 2024  News Round-Up | Radio 570 WNAX","SOUTH DAKOTA RECEIVES PRESIDENTIAL DISASTER DECLARATION FOR JUNE FLOODING

PIERRE, S.D. - Governor Kristi Noem announced that South Dakota has received a presidential disaster declaration due to the ...",[],https://wnax-am.sagacom.com/files/2013/05/WP-Microphone-200x200.jpg,,-0.2314,461509423,67,wnax.com,news,Radio 570 WNAX,2020
