uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,eventUri,sentiment,wgt,relevance,source.uri,source.dataType,source.title,feed date
8316063053,eng,False,2024-09-11,05:56:11,2024-09-11T05:56:11Z,2024-09-11T05:55:37Z,news,0.8118,http://saudigazette.com.sa/article/645437/World/America/Taylor-Swift-endorses-Kamala-Harris-for-president?ref=rss&format=simple&link=link,Taylor Swift endorses Kamala Harris for president,"WASHINGTON -- Taylor Swift said Tuesday she is supporting Vice President Kamala Harris in the race for president, ending speculation about whether the superstar singer would share her political views ...",[],https://saudigazette.com.sa/uploads/images/2024/09/11/2422987.jpg,eng-9893296,0.1216,463730171,1,saudigazette.com.sa,news,Saudi Gazette,2024-09-11
8316061105,eng,False,2024-09-11,05:55:08,2024-09-11T05:55:08Z,2024-09-11T05:54:00Z,news,0.6667,https://ca.news.yahoo.com/won-debate-harris-trump-both-054816691.html,Who Won the Debate? Harris and Trump Both Claim Victory,"What happens when a former president whose own niece has diagnosed him as a ""narcissist"" is declared the loser of a crucial debate that could make or break the 2024 presidential election?

He declares ...",[],https://media.zenfs.com/en/thedailybeast.com/6678b46daf22b2c6a257e2cb55fdd9da,spa-3601911,-0.0431,463730108,1,ca.news.yahoo.com,news,Yahoo,2024-09-11
8316059620,eng,False,2024-09-11,05:54:26,2024-09-11T05:54:26Z,2024-09-11T05:52:31Z,news,0.6431,https://in.mashable.com/digital-culture/82011/tortured-no-longer-taylor-swift-endorses-kamala-harris-after-presidential-debate,Tortured No Longer: Taylor Swift Endorses Kamala Harris After Presidential Debate,"Everyone's favorite childless cat lady, Taylor Swift, took to Instagram on Sept. 10 to endorse Vice President Kamala Harris after the presidential debate between Harris and former President Donald ...",[],https://sm.mashable.com/t/mashable_in/article/t/tortured-n/tortured-no-longer-taylor-swift-endorses-kamala-harris-after_asrm.1200.jpg,eng-9893296,0.2235,463730066,1,in.mashable.com,news,Mashable India,2024-09-11
8316061095,eng,False,2024-09-11,05:54:17,2024-09-11T05:54:17Z,2024-09-11T05:53:59Z,news,0.6667,https://www.thedailybeast.com/who-won-the-debate-harris-and-trump-both-claim-victory,Who Won the Debate? Harris and Trump Both Claim Victory,"What happens when a former president whose own niece has diagnosed him as a ""narcissist"" is declared the loser of a crucial debate that could make or break the 2024 presidential election?

He declares ...",[],"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_4497,w_7994,x_0,y_831/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1726033289/2024-09-11T024053Z_335991836_RC22Y9A6FD8T_RTRMADP_3_USA-ELECTION-DEBATE_q9jbfs",spa-3601911,-0.0431,463730057,1,thedailybeast.com,news,The Daily Beast,2024-09-11
8316058995,eng,False,2024-09-11,05:52:49,2024-09-11T05:52:49Z,2024-09-11T05:51:55Z,news,0.6471,https://www.firstpost.com/entertainment/taylor-swift-stands-by-u-s-vice-president-kamala-harris-post-her-debate-with-donald-trump-says-i-will-be-casting-my-vote-for-13814027.html,"Taylor Swift stands by U.S. Vice President Kamala Harris post her debate with Donald Trump, says 'I will be casting my vote for...'","The singer added, ""I've done my research, and I've made my choice. Your research is all yours to do, and the choice is yours to make."" read more

After an intense debate between U.S. Vice President ...",[],"https://images.firstpost.com/uploads/2024/09/Untitled-design-22-2024-09-d0ee6dde7c46b0bc34c8f71e4472e2b5.jpg?im=FitAndFill=(1200,675)",eng-9893296,0.2235,463729969,1,firstpost.com,news,Firstpost,2024-09-11
8316059574,eng,True,2024-09-11,05:52:49,2024-09-11T05:52:49Z,2024-09-11T05:52:30Z,news,0.0,https://www.thecambodianews.net/news/274579814/taylor-swift-endorses-kamala-harris-after-trump-debate,Taylor Swift endorses Kamala Harris after Trump debate,"Washington [US], September 11 (ANI): After watching the first debate between Vice President Kamala Harris and former President Donald Trump, singer Taylor Swift came out in support of Harris saying ""I ...",[],https://cdn.bignewsnetwork.com/ani1726032120.jpg,,0.0745,463729969,34,thecambodianews.net,news,The Cambodia News,2024-09-11
8316058332,eng,False,2024-09-11,05:51:24,2024-09-11T05:51:24Z,2024-09-11T05:51:11Z,news,0.6784,https://www.rte.ie/news/us/2024/0911/1469441-us-election-taylor-swift/,Taylor Swift endorses Kamala Harris for US president,"Taylor Swift, a self-declared ""childless cat lady,"" has endorsed Kamala Harris for president of the United States.

She broke her silence on the current state of US politics, voicing support for Ms ...",[],https://img.rasset.ie/0020ef26-1600.jpg,eng-9893296,0.2941,463729884,1,rte.ie,news,RTE.ie,2024-09-11
8316057066,eng,False,2024-09-11,05:50:08,2024-09-11T05:50:08Z,2024-09-11T05:49:54Z,news,0.6392,https://www.thetimes.com/world/us-world/article/trump-harris-presidential-debate-taylor-swift-llw8d0232,A strong night for Kamala Harris gets better with Taylor Swift,Taylor Swift endorsed Kamala Harris to be the next US president moments after the Democratic nominee gave a strong debate performance that assuaged fears among some Americans she was not ready for the ...,"{'uri': ['alistair_dawber@thetimes.com'], 'name': ['Alistair Dawber'], 'type': ['author'], 'isAgency': [False]}",https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa60739e1-1c9f-4db6-9ebf-33167cbde39c.jpg?crop=3000%2C1688%2C0%2C156&resize=1200,eng-9893296,0.3647,463729808,1,thetimes.com,news,thetimes.com,2024-09-11
8316053701,eng,False,2024-09-11,05:46:35,2024-09-11T05:46:35Z,2024-09-11T05:46:15Z,news,0.6588,https://virginiamercury.com/2024/09/11/harris-tears-into-trump-over-abortion-rights-and-race-in-tense-presidential-debate/,Harris tears into Trump over abortion rights and race in tense presidential debate * Virginia Mercury,Vice President Kamala Harris and former President Donald Trump touted policy proposals and traded barbs Tuesday during a presidential debate packed with promises to revive America's economy and ...,"{'uri': ['ashley_murray@virginiamercury.com'], 'name': ['Ashley Murray'], 'type': ['author'], 'isAgency': [False]}",https://virginiamercury.com/wp-content/uploads/2024/09/Sept10Debate-scaled-1-2048x1366.jpg,spa-3601911,0.2627,463729595,34,virginiamercury.com,news,Virginia Mercury,2024-09-11
8316050601,eng,False,2024-09-11,05:43:51,2024-09-11T05:43:51Z,2024-09-11T05:43:26Z,news,0.7608,https://www.noise11.com/news/childless-cat-lady-taylor-swift-publicly-endorses-kamala-harris-for-president-20240911,"""Childless Cat Lady"" Taylor Swift Publicly Endorses Kamala Harris For President - Noise11.com","Superstar Taylor Swift has officially endorsed Kamala Harris for President of the USA.

Swift made her endorsement public on her socials signing off the statement with 'Taylor Swift, Childless Cat ...","{'uri': ['paul_cashmere@noise11.com'], 'name': ['Paul Cashmere'], 'type': ['author'], 'isAgency': [False]}",https://i0.wp.com/www.noise11.com/wp/wp-content/uploads/2024/02/Taylor-Swift-at-the-MCG-Melbourne-16-February-2024-Photo-Credit-TAS-Rights-Management-3.jpeg?fit=1200%2C800&ssl=1,eng-9893296,0.4039,463729431,1,noise11.com,news,Noise11.com,2024-09-11
