uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,wgt,relevance,source.uri,source.dataType,source.title,sentiment,eventUri,feed date
8330579405,eng,True,2024-09-21,05:57:52,2024-09-21T05:57:52Z,2024-09-21T05:57:17Z,news,0.0,https://www.adaderana.lk/news/102117/presidential-election-voter-turnout-as-at-10am,Presidential Election: Voter turnout as at 10am,"The district-level voter turnout for the 2024 Presidential Election thus far has already exceeded 20 percent in several districts, according to reports.

Accordingly, the voter turnout percentages of ...",[],https://adaderanaenglish.s3.amazonaws.com/1726896637-voter-turnout.jpg,464594272,1,adaderana.lk,news,Ada Derana,,,2024-09-21
8330578806,eng,False,2024-09-21,05:56:36,2024-09-21T05:56:36Z,2024-09-21T05:56:20Z,news,0.0,https://www.thomsonreuters.com/en-us/posts/government/crypto-regulation-fit-21/,The future of crypto-regulation: What is FIT 21? - Thomson Reuters Institute,"FIT 21, a legislative plan to clarify the role of different regulatory agencies in the oversight of crypto industry, may have a difficult path to passage, but is details are worth considering

Far ...",[],https://www.thomsonreuters.com/en-us/posts/wp-content/uploads/sites/20/2024/08/AdobeStock_730720368_resize.jpg,464594196,1,thomsonreuters.com,news,Thomson Reuters Institute,0.4196,,2024-09-21
8330574354,eng,True,2024-09-21,05:50:24,2024-09-21T05:50:24Z,2024-09-21T05:50:00Z,news,0.0,https://colombogazette.com/2024/09/21/premadasa-says-democracy-will-win-after-voting-at-presidential-polls/,Premadasa says democracy will win after voting at Presidential polls,"Samagi Jana Balawegaya (SJB) Presidential candidate Sajith Premadasa said that democracy will win, after he cast his vote at the 2024 Presidential Election, Saturday.

Premadasa told reporters he was ...",[],http://colombogazette.com/wp-content/uploads/2024/09/460946487_1044817870764761_9080514320246000208_n.jpg,464593824,15,colombogazette.com,news,Colombo Gazette,0.051,,2024-09-21
8330572382,eng,False,2024-09-21,05:47:40,2024-09-21T05:47:40Z,2024-09-21T05:47:16Z,news,0.5765,http://colombogazette.com/2024/09/21/premadasa-says-democracy-will-win-after-voting-at-presidential-polls/,Premadasa says democracy will win after voting at Presidential polls,"Samagi Jana Balawegaya (SJB) Presidential candidate Sajith Premadasa said that democracy will win, after he cast his vote at the 2024 Presidential Election, Saturday.

Premadasa told reporters he was ...",[],http://colombogazette.com/wp-content/uploads/2024/09/460946487_1044817870764761_9080514320246000208_n.jpg,464593660,15,colombogazette.com,news,Colombo Gazette,0.051,eng-9921872,2024-09-21
8330568351,eng,False,2024-09-21,05:42:30,2024-09-21T05:42:30Z,2024-09-21T05:42:02Z,news,0.0,https://resistthemainstream.com/lib-reporter-reveals-trumps-mental-state-after-two-near-death-experiences/,Lib Reporter Reveals Trump's Mental State After Two Near-Death Experiences,"Screenshots / YouTube, CNN; ABC News, Cropped by Resist the Mainstream

President Donald Trump is reportedly feeling ""on edge"" and ""under siege"" following recent assassination attempts, according to ...","{'uri': ['anthony_gonzalez@resistthemainstream.com'], 'name': ['Anthony Gonzalez'], 'type': ['author'], 'isAgency': [False]}",https://resistthemainstream.com/wp-content/uploads/2024/09/Untitled-design-19.png,464593350,1,resistthemainstream.com,news,Resist the Mainstream,0.1216,,2024-09-21
8330565283,eng,False,2024-09-21,05:38:20,2024-09-21T05:38:20Z,2024-09-21T05:38:03Z,news,0.6784,https://www.dailymail.co.uk/news/article-13875709/Kamala-Harris-interviews-revealed-adviser.html,Ridiculous reason Kamala Harris hasn't done any interviews revealed,"Kamala Harris' senior advisor has claimed the presidential hopeful is 'too busy' to do media interviews - despite warnings her silence is harming her campaign.

Vice President senior advisor, Keisha ...",[],https://i.dailymail.co.uk/1s/2024/09/21/06/89934047-0-image-m-175_1726896603108.jpg,464593100,1,dailymail.co.uk,news,Daily Mail Online,-0.0353,eng-9924274,2024-09-21
8330556635,eng,False,2024-09-21,05:27:58,2024-09-21T05:27:58Z,2024-09-21T05:26:33Z,news,0.0,https://www.adaderana.lk/news.php?nid=102117,Presidential Election: Voter turnout as at 10am,"The district-level voter turnout for the 2024 Presidential Election thus far has already exceeded 20 percent in several districts, according to reports.

Accordingly, the voter turnout of several ...",[],https://adaderanaenglish.s3.amazonaws.com/adaderana-header-logo.png,464592478,1,adaderana.lk,news,Ada Derana,0.0039,,2024-09-21
8330553192,eng,False,2024-09-21,05:24:05,2024-09-21T05:24:05Z,2024-09-21T05:21:36Z,news,0.5804,https://www.aa.com.tr/en/asia-pacific/voting-begins-in-sri-lankan-presidential-election/3336331,Voting begins in Sri Lankan presidential election,"40 candidates vying for votes in 1st presidential election since island nation declared bankruptcy in 2022 that led to ouster of government

Voting in Sri Lanka's 2024 presidential election began ...",[],https://cdnuploads.aa.com.tr/uploads/Contents/2024/09/21/thumbs_b_c_802e985d7923c97a2bd52dce309db960.jpg?v=082020,464592245,1,aa.com.tr,news,Anadolu Ajansı,-0.1059,eng-9921872,2024-09-21
8330537477,eng,False,2024-09-21,05:02:14,2024-09-21T05:02:14Z,2024-09-21T05:01:53Z,news,0.5333,https://srilankamirror.com/news/several-presidential-candidates-cast-their-votes/,Several Presidential candidates cast their votes,"Several leading contenders in the 2024 Presidential Election have cast their votes today (Sep. 21).

Independent candidate Ranil Wickremesinghe cast his vote at the College House polling center at the ...",[],https://srilankamirror.com/wp-content/uploads/2024/09/Election_Vote_1200px_2024_09_21-1000x600.jpg,464590934,1,srilankamirror.com,news,Sri Lanka Mirror,0.0039,eng-9914215,2024-09-21
8330536992,eng,False,2024-09-21,05:02:11,2024-09-21T05:02:11Z,2024-09-21T05:01:20Z,news,0.7176,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/09/21/indonesia039s-prabowo-meets-philippine-president-marcos-leaders-talk-on-strategic-partnership-values,Indonesia's Prabowo meets Philippine President Marcos; leaders talk on strategic partnership values,"JAKARTA/MANILA (Bernama): Indonesian Defence Minister Prabowo Subianto met with Philippine President Ferdinand Marcos Jr. at Malacañang Palace in Manila on Friday, highlighting Indonesia's view of ...",[],https://apicms.thestar.com.my/uploads/images/2024/09/21/2923908.jpg,464590931,1,thestar.com.my,news,The Star ,0.5216,eng-9922073,2024-09-21
