uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,sentiment,wgt,relevance,source.uri,source.dataType,source.title,image,eventUri,feed date
8337513582,eng,True,2024-09-26,05:20:58,2024-09-26T05:20:58Z,2024-09-26T05:13:38Z,news,0.0,https://www.ghanamma.com/2024/09/26/naana-returns-to-western-region-for-campaign/,Naana Returns To Western Region For Campaign - Ghanamma.com,"After a brief hiatus, the Running Mate of the Opposition National Democratic Congress, NDC, Professor Naana Jane Opoku-Agyemang, has made a triumphant return to the campaign trail.

Professor ...",[],0.1451,465024058,1,ghanamma.com,news,Ghanamma.com,,,2024-09-26
8337519436,eng,False,2024-09-26,05:19:14,2024-09-26T05:19:14Z,2024-09-26T05:18:58Z,news,0.0,https://www.lewrockwell.com/lrc-blog/eric-weinstein-are-we-on-the-brink-of-a-revolution/,Eric Weinstein - Are We On The Brink Of A Revolution? - LRC Blog,"https://www.lewrockwell.com/lrc-blog/eric-weinstein-are-we-on-the-brink-of-a-revolution/

One of the most fantastic, in-depth, conversational exchanges of information in the highest level of civility ...","{'uri': ['charles_burris@lewrockwell.com'], 'name': ['Charles Burris'], 'type': ['author'], 'isAgency': [False]}",0.2078,465023954,1,lewrockwell.com,news,Lew Rockwell,https://lrc-cdn.s3.amazonaws.com/assets/2021/02/LRC-share.jpg,,2024-09-26
8337518970,eng,False,2024-09-26,05:18:50,2024-09-26T05:18:50Z,2024-09-26T05:18:36Z,news,0.5725,https://groundviews.org/2024/09/26/a-new-dawn-for-sri-lankas-democracy-and-future/,A New Dawn for Sri Lanka's Democracy and Future - Groundviews,Sri Lanka's 2024 presidential election has marked a historic shift in the political landscape with Anura Kumara Dissanayake securing a decisive victory. The election is seen as a resounding rejection ...,[],0.0745,465023930,1,groundviews.org,news,Groundviews,https://groundviews.org/wp-content/uploads/2024/09/akd-copy.jpg,eng-9932418,2024-09-26
8337487594,eng,True,2024-09-26,04:48:30,2024-09-26T04:48:30Z,2024-09-26T04:46:58Z,news,0.0,https://www.yahoo.com/news/cruz-gets-heated-booker-blocks-020910517.html,Cruz gets heated after Booker blocks deepfake revenge porn bill,"Texas Sen. Ted Cruz (R) vented his frustration on the Senate floor Wednesday evening after Cory Booker (D-N.J.), in an unusual exchange, objected to a bipartisan bill sponsored by Cruz that would ...",[],-0.3255,465022110,1,yahoo.com,news,Yahoo,https://media.zenfs.com/en/the_hill_articles_341/53dfc4eef6c64496ac351c1090e1b79a,,2024-09-26
8337463551,eng,True,2024-09-26,04:22:59,2024-09-26T04:22:59Z,2024-09-26T04:22:06Z,news,0.0,https://www.independent.co.uk/life-style/jennifer-lawrence-kamala-harris-trump-endorsement-b2619164.html,Jennifer Lawrence shares reason behind endorsement for 2024 presidential election,"My recent work focusing on Latino voters in Arizona has shown me how crucial independent journalism is in giving voice to underrepresented communities.

Your support is what allows us to tell these ...",[],0.302,465020579,15,independent.co.uk,news,The Independent,https://static.independent.co.uk/2024/09/24/18/GettyImages-2152514989.jpg?quality=75&width=1200&auto=webp,,2024-09-26
2024-09-496628408,eng,True,2024-09-26,04:21:23,2024-09-26T04:21:23Z,2024-09-26T00:06:12Z,news,0.0,https://www.aol.com/news/chappell-roan-reveals-she-voting-205414540.html,Chappell Roan reveals she's voting for Kamala Harris after online backlash,"Chappell Roan reveals she's voting for Kamala Harris after online backlash

Matt Lavietes

Updated September 26, 2024 at 2:06 AM

Pop star Chappell Roan revealed in a TikTok video Wednesday that she's ...","{'uri': ['matt_lavietes@aol.com'], 'name': ['Matt Lavietes'], 'type': ['author'], 'isAgency': [False]}",-0.1216,465020483,1,aol.com,news,Aol,https://s.yimg.com/ny/api/res/1.2/zgJz1ILNzOFyPwcUpxHv8g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/aol_nbc_universal_184/380919debc4e51bbe3daed7ed8908002,,2024-09-26
2024-09-496622656,eng,False,2024-09-26,04:15:03,2024-09-26T04:15:03Z,2024-09-26T04:03:18Z,news,0.7137,https://www.independent.co.uk/life-style/elon-musk-giorgia-meloni-relationship-rumors-b2619157.html,Elon Musk denies relationship with Giorgia Meloni after she calls him 'genius',"The 53-year-old billionaire took to X/Twitter (which he owns) the following day to address his friendship with the Italian Prime Minister.

""I was there with my Mom,"" he wrote. ""There is no romantic ...","{'uri': ['amber_raiken@independent.co.uk'], 'name': ['Amber Raiken'], 'type': ['author'], 'isAgency': [False]}",0.3725,465020103,1,independent.co.uk,news,The Independent,https://static.independent.co.uk/2024/09/25/17/MixCollage-25-Sep-2024-12-26-PM-1984.jpg?quality=75&width=1200&auto=webp,eng-9935233,2024-09-26
2024-09-496609211,eng,False,2024-09-26,03:51:02,2024-09-26T03:51:02Z,2024-09-25T23:45:50Z,news,0.7333,https://internewscast.com/entertainment/ina-garten-and-taylor-swift-a-fun-party-story/,Ina Garten and Taylor Swift: A Fun Party Story - Internewscast Journal,"""The Barefoot Contessa"" extraordinaire Ina Garten is one of those fans! The 76-year-old cook has long been an admirer of the 34-year-old pop sensation. Garten's respect for the ""Are You Ready For It?"" ...",[],0.3804,465018662,1,internewscast.com,news,Internewscast Journal,https://internewscast.com/wp-content/uploads/2024/09/rewrite-this-title-Ina-Garten-Shares-A-Tale-Featuring-Party.png,eng-9928256,2024-09-26
8337427273,eng,False,2024-09-26,03:40:01,2024-09-26T03:40:01Z,2024-09-26T03:39:43Z,news,0.0,https://baylorlariat.com/2024/09/25/professors-speak-words-of-wisdom-for-first-time-student-voters/,"Professors speak words of wisdom for first-time, student voters - The Baylor Lariat","A little over a month out, the 2024 presidential election is quickly becoming a reality for many first-time voters on Baylor campus. The question is, will these students be ready to make a confident, ...","{'uri': ['olivia_turner@baylorlariat.com'], 'name': ['Olivia Turner'], 'type': ['author'], 'isAgency': [False]}",0.302,465018001,1,baylorlariat.com,news,Baylor Lariat,https://baylorlariat.com/wp-content/uploads/2024/09/IMG_0138.jpg,,2024-09-26
2024-09-496603757,eng,False,2024-09-26,03:39:38,2024-09-26T03:39:38Z,2024-09-26T03:39:20Z,news,0.0,https://seattlespectator.com/2024/09/25/political-uncertainty-social-media-and-student-involvement-in-the-2024-presidential-election/,"Political Uncertainty, Social Media and Student Involvement in the 2024 Presidential Election",The first president who decided not to seek re-election in over 50 years. An assassination attempt that missed by inches. A record $81 million raised in a campaign's first 24 hours. These are the ...,"{'uri': ['caleb_stipkovits@seattlespectator.com'], 'name': ['Caleb Stipkovits'], 'type': ['author'], 'isAgency': [False]}",-0.1608,465017978,1,seattlespectator.com,news,The Spectator,https://seattlespectator.com/wp-content/uploads/2024/09/IMG_4802.heic,,2024-09-26
