date,sentiment,relevance,source.uri,source.title
2024-08-08,0.0431,13,yahoo.com,Yahoo
2024-08-08,0.2078,1,chinadaily.com.cn,China Daily
2024-08-08,-0.0039,1,advocate.com,"Gay News, LGBT Rights, Politics, Entertainment"
2024-08-08,0.349,1,thenerdstash.com,The Nerd Stash
2024-08-08,-0.2706,13,independentaustralia.net,Independent Australia
2024-08-08,0.0902,1,eu.statesman.com,USA TODAY
2024-08-08,0.2235,13,yahoo.com,Yahoo
2024-08-08,-0.2706,1,ccenterdispatch.com,Clay Center Dispatch On-Line
2024-08-08,-0.2706,1,khq.com,KHQ Right Now
2024-08-08,0.0118,1,mondoweiss.net,Mondoweiss
2024-08-08,-0.1686,1,fox41yakima.com,FOX 11 41 Tri Cities Yakima
2024-08-08,-0.2706,1,kulr8.com,KULR-8 Local News
2024-08-08,-0.1922,13,thenewamerican.com,The New American
2024-08-08,-0.0824,1,reclaimthenet.org,Reclaim The Net
2024-08-08,-0.1686,1,yakimaherald.com,Yakima Herald-Republic
2024-08-08,0.0588,1,benzinga.com,Benzinga
2024-08-08,0.0431,1,cbsnews.com,CBS News
2024-08-08,0.1373,1,kion546.com,KION546
2024-08-08,-0.1686,1,reformer.com,Brattleboro Reformer
2024-08-08,0.1922,1,keyt.com,NewsChannel 3-12
2024-08-08,-0.1686,1,ktbs.com,KTBS
2024-08-08,-0.2706,1,wfxg.com,WFXG FOX54
2024-08-08,0.0196,1,usnews.com,U.S. News & World Report
2024-08-08,-0.3255,1,yahoo.com,Yahoo
2024-08-08,0.0667,1,ccenterdispatch.com,Clay Center Dispatch On-Line
2024-08-08,0.0667,1,kulr8.com,KULR-8 Local News
2024-08-08,0.1451,1,matzav.com,matzav.com
2024-08-08,0.0667,1,khq.com,KHQ Right Now
2024-08-08,0.0667,1,fox41yakima.com,FOX 11 41 Tri Cities Yakima
2024-08-08,0.0667,1,ktbs.com,KTBS
2024-08-08,-0.1059,1,devdiscourse.com,Devdiscourse
2024-08-08,0.1922,1,cnn.com,CNN
2024-08-08,0.0667,1,yakimaherald.com,Yakima Herald-Republic
2024-08-08,-0.0039,1,aa.com.tr,Anadolu Ajansı
2024-08-08,0.0667,1,reformer.com,Brattleboro Reformer
2024-08-08,0.4745,1,standardmedia.co.ke,Standard Digital News - Kenya
2024-08-08,-0.1451,1,nytimes.com,The New York Times
2024-08-08,0.2784,1,yahoo.com,Yahoo
2024-08-08,0.1608,1,benzinga.com,Benzinga
2024-08-08,0.1373,1,marketscreener.com,Market Screener
2024-08-08,0.2784,1,ca.news.yahoo.com,Yahoo
2024-08-08,0.2549,1,people.com,PEOPLE.com
2024-08-08,0.1451,1,wgowam.com,WGOW-AM
2024-08-08,0.1137,1,dnyuz.com,DNyuz
2024-08-08,0.0588,1,fox5dc.com,FOX 5 DC
2024-08-08,0.2784,1,finance.yahoo.com,Yahoo! Finance
2024-08-08,0.0039,1,socialnews.xyz,Social News XYZ
2024-08-08,-0.0275,1,eu.cantonrep.com,The Repository
2024-08-08,-0.2549,1,exbulletin.com,ExBulletin
2024-08-08,0.1137,1,abc7.com,ABC7
2024-08-08,0.1216,1,townhall.com,Townhall
2024-08-08,0.1451,1,newsradio1029.com,Newsradio 102.9 | KARN-FM
2024-08-08,0.2549,13,benzinga.com,Benzinga
2024-08-08,0.0824,1,vanityfair.com,Vanity Fair
2024-08-08,0.0431,1,kulr8.com,KULR-8 Local News
2024-08-08,0.051,1,dailymail.co.uk,Daily Mail Online
2024-08-08,0.1137,1,ktbs.com,KTBS
2024-08-08,0.1137,1,reformer.com,Brattleboro Reformer
2024-08-08,0.0431,1,khq.com,KHQ Right Now
2024-08-08,0.1137,1,fox41yakima.com,FOX 11 41 Tri Cities Yakima
2024-08-08,-0.0824,1,azcentral.com,AZ Central
2024-08-08,0.1451,1,kboi.com,KBOI-AM
2024-08-08,-0.2627,1,saraacarter.com,Sara A. Carter
2024-08-08,0.051,1,dailymail.co.uk,Daily Mail Online
2024-08-08,0.0902,1,yahoo.com,Yahoo
2024-08-08,0.5216,1,jpost.com,The Jerusalem Post
2024-08-08,0.2471,13,washingtontechnology.com,Washington Technology
2024-08-08,-0.0118,1,uk.news.yahoo.com,Yahoo News UK
2024-08-08,0.051,1,gazette.com,Colorado Springs Gazette
2024-08-08,-0.0039,1,santacruzsentinel.com,Santa Cruz Sentinel
2024-08-08,0.1451,1,wlsam.com,WLS-AM 890 | WLS-AM
2024-08-08,0.1451,1,wmal.com,WMAL-FM
2024-08-08,-0.051,1,democraticunderground.com,Democratic Underground
2024-08-08,0.5059,1,m.jpost.com,The Jerusalem Post | JPost.com
2024-08-08,0.0196,1,dnyuz.com,DNyuz
2024-08-08,-0.0275,1,ca.news.yahoo.com,Yahoo
2024-08-08,0.0667,1,people.com,PEOPLE.com
2024-08-08,-0.0118,1,ca.news.yahoo.com,Yahoo
2024-08-08,0.2235,13,sunjournal.com,Lewiston Sun Journal
2024-08-08,0.2235,13,centralmaine.com,Kennebec Journal and Morning Sentinel
