state,state_name_count,feed_date
Alabama,0,2024-08-21
Alaska,0,2024-08-21
Arizona,35,2024-08-21
Arkansas,0,2024-08-21
California,0,2024-08-21
Colorado,0,2024-08-21
Connecticut,4,2024-08-21
Delaware,0,2024-08-21
Florida,0,2024-08-21
Georgia,0,2024-08-21
Hawaii,0,2024-08-21
Idaho,0,2024-08-21
Illinois,4,2024-08-21
Indiana,0,2024-08-21
Iowa,0,2024-08-21
Kansas,0,2024-08-21
Kentucky,0,2024-08-21
Louisiana,0,2024-08-21
Maine,1,2024-08-21
Maryland,0,2024-08-21
Massachusetts,0,2024-08-21
Michigan,4,2024-08-21
Minnesota,0,2024-08-21
Mississippi,0,2024-08-21
Missouri,0,2024-08-21
Montana,28,2024-08-21
Nebraska,0,2024-08-21
Nevada,0,2024-08-21
New Hampshire,0,2024-08-21
New Jersey,0,2024-08-21
New Mexico,0,2024-08-21
New York,1,2024-08-21
North Carolina,0,2024-08-21
North Dakota,0,2024-08-21
Ohio,0,2024-08-21
Oklahoma,0,2024-08-21
Oregon,0,2024-08-21
Pennsylvania,0,2024-08-21
Rhode Island,0,2024-08-21
South Carolina,0,2024-08-21
South Dakota,0,2024-08-21
Tennessee,0,2024-08-21
Texas,0,2024-08-21
Utah,0,2024-08-21
Vermont,2,2024-08-21
Virginia,0,2024-08-21
Washington,1,2024-08-21
West Virginia,0,2024-08-21
Wisconsin,0,2024-08-21
Wyoming,0,2024-08-21
DC,0,2024-08-21
Alabama,0,2024-08-09
Alaska,0,2024-08-09
Arizona,4,2024-08-09
Arkansas,0,2024-08-09
California,5,2024-08-09
Colorado,0,2024-08-09
Connecticut,0,2024-08-09
Delaware,0,2024-08-09
Florida,1,2024-08-09
Georgia,0,2024-08-09
Hawaii,0,2024-08-09
Idaho,0,2024-08-09
Illinois,0,2024-08-09
Indiana,0,2024-08-09
Iowa,0,2024-08-09
Kansas,0,2024-08-09
Kentucky,0,2024-08-09
Louisiana,0,2024-08-09
Maine,0,2024-08-09
Maryland,0,2024-08-09
Massachusetts,0,2024-08-09
Michigan,4,2024-08-09
Minnesota,4,2024-08-09
Mississippi,0,2024-08-09
Missouri,0,2024-08-09
