date,Silver,Times,Economist
8/12/24,54.815,47.3306,48
8/13/24,56.0375,47.3151,48
8/14/24,56.705,47.2928,48
8/15/24,55.6625,47.8468,48
8/16/24,54.21,47.8061,48
8/17/24,53.76,47.8068,48
8/18/24,53.5275,48.3058,48
8/19/24,53.6175,48.2105,48
8/20/24,53.7125,48.2011,48
8/21/24,52.735,47.819,48
8/22/24,52.78,47.8919,49
8/23/24,53.4975,48.1592,49
8/24/24,53.18,48.0928,49
8/25/24,52.44,48.0825,48
8/26/24,52.5025,48.3914,48
8/27/24,51.4525,48.3286,48
8/28/24,50.5375,48.9162,48
8/29/24,47.345,48.72,48
8/30/24,46.5925,48.9682,48
8/31/24,44.6175,48.9845,48
9/1/24,43.985,49.2101,49
9/2/24,43.41333,49.0978,49
9/3/24,43.0325,49.0832,49
9/4/24,41.585,49.0863,49
9/5/24,49.04464,49.3588,49
9/6/24,49.00438,49.357,49
9/7/24,49.00438,49.3435,49
9/8/24,48.68832,48.7137,49
9/9/24,48.91192,48.9539,
9/10/24,,48.9305,
