uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,eventUri,sentiment,wgt,relevance,source.uri,source.dataType,source.title
8273481973,eng,False,2024-08-14,00:11:53,2024-08-14T00:11:53Z,2024-08-14T00:10:32Z,news,0.5373,https://finance.yahoo.com/video/trump-harriss-open-minds-crypto-235317574.html,"Do Trump, Harris's open minds on crypto hurt the industry?",Crypto is beginning to appear front and center in the 2024 US presidential election as Vice President Kamala Harris and former President Donald Trump appear more open to the industry as a whole. Top ...,[],https://s.yimg.com/ny/api/res/1.2/MPFjFDu.1MwmP.1fYN5PXg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY7Y2Y9d2VicA--/https://s.yimg.com/os/creatr-uploaded-images/2024-08/ce0be060-59cc-11ef-9b3c-46c2992bb0cf,eng-9811018,0.2627,461290313,1,finance.yahoo.com,news,Yahoo! Finance
8273455878,eng,False,2024-08-13,23:36:32,2024-08-13T23:36:32Z,2024-08-13T23:35:22Z,news,0.0,https://www.outkick.com/analysis/kamala-harris-has-no-room-complain-about-big-tech-biases-regarding-elon-musk-x-burack,Kamala Harris Has No Room To Complain About Big Tech Biases Regarding Elon Musk and X | Bobby Burack,"The Harris/Walz campaign criticized Elon Musk's role in the 2024 presidential election while he hosted an X Spaces with Donald Trump on Monday.

""It's not enough that Musk has pledged to donate ...","{'uri': ['bobby_burack@outkick.com'], 'name': ['Bobby Burack'], 'type': ['author'], 'isAgency': [False]}",https://static.outkick.com/www.outkick.com/content/uploads/2024/08/Screenshot-2024-08-13-at-7.09.08-PM.png,,0.0588,461288192,1,outkick.com,news,OutKick
2024-08-453460343,eng,False,2024-08-13,23:31:00,2024-08-13T23:31:00Z,2024-08-13T22:42:04Z,news,0.6039,https://www.bostonglobe.com/2024/08/13/nation/biden-announces-150-million-research-grants-part-his-moonshot-push-fight-cancer/,Biden announces $150 million in research grants as part of his 'moonshot' push to fight cancer,The pair then championed the announcement of $150 million in awards from the Advanced Research Projects Agency for Health. Those will support eight teams of researchers around the country working on ...,"{'uri': ['political_notebook@bostonglobe.com'], 'name': ['Political Notebook'], 'type': ['author'], 'isAgency': [False]}",https://www.bostonglobe.com/pf/resources/images/logo-bg.jpg?d=493,eng-9814944,0.098,461287860,1,bostonglobe.com,news,The Boston Globe
8273436284,eng,False,2024-08-13,23:11:45,2024-08-13T23:11:45Z,2024-08-13T23:10:40Z,news,0.0,https://www.benzinga.com/general/politics/24/08/40355353/harris-vs-trump-vice-president-leads-2024-election-poll-by-3-points-shows-strength-among-indepen,"Harris Vs. Trump: Vice President Leads 2024 Election Poll by 3 Points, Shows Strength Among Independent, Young Voters","Harris posts big leads among Independent voters and voters ages 18-34.

Vice President Kamala Harris leads former President Donald Trump in a head-to-head election poll with less than three months to ...","{'uri': ['chris_katje@benzinga.com'], 'name': ['Chris Katje'], 'type': ['author'], 'isAgency': [False]}",https://cdn.benzinga.com/files/images/story/2024/08/13/Harris-Biden--Shutterstock.png?width=1200&height=800&fit=crop,,0.1608,461286705,1,benzinga.com,news,Benzinga
8273408663,eng,True,2024-08-13,22:36:29,2024-08-13T22:36:29Z,2024-08-13T22:33:28Z,news,0.0,https://keyt.com/cnn-opinion/2024/08/13/how-elon-musk-has-turned-x-into-a-pro-trump-machine/,How Elon Musk has turned X into a pro-Trump machine,"New York (CNN) -- Nearly two years after Elon Musk bought Twitter and turned it into X, the billionaire is leveraging its power as a source of real-time news for millions of users to try to sway the ...","{'uri': ['cnn_newsource@keyt.com'], 'name': ['Cnn Newsource'], 'type': ['author'], 'isAgency': [False]}",https://keyt.b-cdn.net/2023/08/nc312-combined-commercial-slate-860x484.jpg,,0.0902,461284589,1,keyt.com,news,NewsChannel 3-12
8273405983,eng,False,2024-08-13,22:32:20,2024-08-13T22:32:20Z,2024-08-13T22:30:29Z,news,0.0,https://www.fox5atlanta.com/news/georgia-officials-bolster-voting-system-security-2024-presidential-election,Georgia officials bolster voting system security for 2024 presidential election,"DALLAS, Ga. - State and county elections officials are working to assure Georgia residents that the state's voting system is secure ahead of the 2024 presidential election.

""It's not just the country ...","{'uri': ['deidra_dukes@fox5atlanta.com'], 'name': ['Deidra Dukes'], 'type': ['author'], 'isAgency': [False]}",https://images.foxtv.com/static.fox5atlanta.com/www.fox5atlanta.com/content/uploads/2024/08/1280/720/P-RAFFENSPERGER-PAULDING-ELECTIONS-5P_00.00.06.30.jpg?ve=1&tl=1,,-0.0039,461284340,13,fox5atlanta.com,news,FOX 5 Atlanta
8273404174,eng,False,2024-08-13,22:28:46,2024-08-13T22:28:46Z,2024-08-13T22:27:24Z,news,0.7608,https://www.westernjournal.com/sheriff-shown-kamala-harris-ad-reveals-truth-featured-clip-deceiving-say-least/,"Sheriff Who Was Shown in Kamala Harris Ad Reveals Truth About Featured Clip: 'Deceiving, to Say the Least'","Thus, the party's minions in the establishment media have spent years priming voters to absorb the most brazen of lies.

For instance, in an interview with Fox News' Lawrence B. Jones on Tuesday, ...","{'uri': ['michael_schwarz@westernjournal.com'], 'name': ['Michael Schwarz'], 'type': ['author'], 'isAgency': [False]}",https://www.westernjournal.com/wp-content/uploads/2024/08/Misleading-Harris-ad.jpg,eng-9811915,-0.1059,461284126,1,westernjournal.com,news,The Western Journal
2024-08-453429998,eng,False,2024-08-13,22:26:13,2024-08-13T22:26:13Z,2024-08-13T21:31:29Z,news,0.5843,https://cryptonews.com/news/ted-cruz-champions-texas-bitcoin-mining-at-industry-event.htm,Ted Cruz Champions Texas Bitcoin Mining at Industry Event,"A number of politicians in the United States are taking a stance on Bitcoin (BTC) as the 2024 presidential election approaches.

Ted Cruz, the junior U.S. Senator from Texas, has been particularly ...","{'uri': ['rachel_wolfson@cryptonews.com'], 'name': ['Rachel Wolfson'], 'type': ['author'], 'isAgency': [False]}",https://cimg.co/wp-content/uploads/2024/08/13201416/1723580055-1723580018190_processed.jpg,eng-9810884,0.2549,461283973,1,cryptonews.com,news,cryptonews.com
8273399920,eng,False,2024-08-13,22:23:24,2024-08-13T22:23:24Z,2024-08-13T22:22:28Z,news,0.7922,https://tjvnews.com/2024/08/judge-rules-against-rfk-jr-in-fight-to-be-on-new-yorks-ballot-says-he-is-not-a-state-resident-after-far-left-democrat-pac-backed-challenge/,"Judge rules against RFK Jr. in fight to be on New York's ballot, says he is not a state resident, after Far Left Democrat PAC Backed Challenge - The Jewish Voice","Iran willing to cancel attack on Israel if hostage deal reached, say Iranian officials

(AP/ with additional reporting from TJV) -- A judge ruled Monday that independent presidential candidate Robert ...",[],https://tjvnews.com/wp-content/uploads/2023/07/ezgif-5-e26aafcee0.jpg,eng-9811868,-0.1059,461283804,1,tjvnews.com,news,The Jewish Voice
8273384579,eng,False,2024-08-13,22:06:15,2024-08-13T22:06:15Z,2024-08-13T22:04:06Z,news,0.5216,https://finance.yahoo.com/video/us-china-relations-could-look-214418841.html,What US-China relations could look like under Kamala Harris,Senior US officials are set to visit China this week in an effort to bolster relations amid heated trade tensions. This comes as Huawei Technologies is reportedly close to introducing a new AI chip ...,[],https://s.yimg.com/ny/api/res/1.2/KZhXRE4jj4cwvblVmerMJw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY7Y2Y9d2VicA--/https://s.yimg.com/os/creatr-uploaded-images/2024-08/e2a92620-59ba-11ef-bcff-df269a249aa2,eng-9813026,-0.0118,461282775,1,finance.yahoo.com,news,Yahoo! Finance
