date,Harris,Trump,,
8/12/24,48,45,,Economist State and  National Pollis Average
8/13/24,48,45,,https://www.economist.com/interactive/us-2024-election/prediction-model/president
8/14/24,48,45,,
8/15/24,48,45,,
8/16/24,48,45,,
8/17/24,48,45,,
8/18/24,48,45,,
8/19/24,48,45,,
8/20/24,48,45,,
8/21/24,48,45,,
8/22/24,49,45,,
8/23/24,49,45,,
8/24/24,49,45,,
8/25/24,48,45,,
8/26/24,48,45,,
8/27/24,48,46,,
8/28/24,48,46,,
8/29/24,48,46,,
8/30/24,48,46,,
8/31/24,48,46,,
9/1/24,49,46,,
9/2/24,49,46,,
9/3/24,49,46,,
9/4/24,49,46,,
9/5/24,49,46,,
9/6/24,49,46,,
9/7/24,49,46,,
9/8/24,49,46,,
9/9/24,,,,
9/10/24,,,,
