Date,Voice,Trial,State,Result
10/16/24,Fox,1,AL,1
10/16/24,Fox,1,AK,1
10/16/24,Fox,1,AZ,1
10/16/24,Fox,1,AR,1
10/16/24,Fox,1,CA,0
10/16/24,Fox,1,CO,0
10/16/24,Fox,1,CT,0
10/16/24,Fox,1,DE,0
10/16/24,Fox,1,FL,1
10/16/24,Fox,1,GA,1
10/16/24,Fox,1,HI,0
10/16/24,Fox,1,ID,1
10/16/24,Fox,1,IL,0
10/16/24,Fox,1,IN,1
10/16/24,Fox,1,IA,1
10/16/24,Fox,1,KS,1
10/16/24,Fox,1,KY,1
10/16/24,Fox,1,LA,1
10/16/24,Fox,1,ME,0
10/16/24,Fox,1,MD,0
10/16/24,Fox,1,MA,0
10/16/24,Fox,1,MI,1
10/16/24,Fox,1,MN,0
10/16/24,Fox,1,MS,1
10/16/24,Fox,1,MO,1
10/16/24,Fox,1,MT,1
10/16/24,Fox,1,NE,1
10/16/24,Fox,1,NV,0
10/16/24,Fox,1,NH,0
10/16/24,Fox,1,NJ,0
10/16/24,Fox,1,NM,0
10/16/24,Fox,1,NY,0
10/16/24,Fox,1,NC,1
10/16/24,Fox,1,ND,1
10/16/24,Fox,1,OH,1
10/16/24,Fox,1,OK,1
10/16/24,Fox,1,OR,0
10/16/24,Fox,1,PA,0
10/16/24,Fox,1,RI,0
10/16/24,Fox,1,SC,1
10/16/24,Fox,1,SD,1
10/16/24,Fox,1,TN,1
10/16/24,Fox,1,TX,1
10/16/24,Fox,1,UT,1
10/16/24,Fox,1,VT,0
10/16/24,Fox,1,VA,0
10/16/24,Fox,1,WA,0
10/16/24,Fox,1,WV,1
10/16/24,Fox,1,WI,1
10/16/24,Fox,1,WY,1
10/16/24,Fox,2,AL,1
10/16/24,Fox,2,AK,1
10/16/24,Fox,2,AZ,1
10/16/24,Fox,2,AR,1
10/16/24,Fox,2,CA,0
10/16/24,Fox,2,CO,0
10/16/24,Fox,2,CT,0
10/16/24,Fox,2,DE,0
10/16/24,Fox,2,FL,1
10/16/24,Fox,2,GA,1
10/16/24,Fox,2,HI,0
10/16/24,Fox,2,ID,1
10/16/24,Fox,2,IL,0
10/16/24,Fox,2,IN,1
10/16/24,Fox,2,IA,1
10/16/24,Fox,2,KS,1
10/16/24,Fox,2,KY,1
10/16/24,Fox,2,LA,1
10/16/24,Fox,2,ME,0
10/16/24,Fox,2,MD,0
10/16/24,Fox,2,MA,0
10/16/24,Fox,2,MI,1
10/16/24,Fox,2,MN,0
10/16/24,Fox,2,MS,1
10/16/24,Fox,2,MO,1
10/16/24,Fox,2,MT,1
10/16/24,Fox,2,NE,1
10/16/24,Fox,2,NV,0
10/16/24,Fox,2,NH,0
10/16/24,Fox,2,NJ,0
10/16/24,Fox,2,NM,0
10/16/24,Fox,2,NY,0
10/16/24,Fox,2,NC,1
10/16/24,Fox,2,ND,1
10/16/24,Fox,2,OH,1
10/16/24,Fox,2,OK,1
10/16/24,Fox,2,OR,0
10/16/24,Fox,2,PA,1
10/16/24,Fox,2,RI,0
10/16/24,Fox,2,SC,1
10/16/24,Fox,2,SD,1
10/16/24,Fox,2,TN,1
10/16/24,Fox,2,TX,1
10/16/24,Fox,2,UT,1
10/16/24,Fox,2,VT,0
