Date,Voice,Trial,State,Result
09/17/24,BBC,1,AL,1
09/17/24,BBC,1,AK,1
09/17/24,BBC,1,AZ,0
09/17/24,BBC,1,AR,1
09/17/24,BBC,1,CA,0
09/17/24,BBC,1,CO,0
09/17/24,BBC,1,CT,0
09/17/24,BBC,1,DC,0
09/17/24,BBC,1,DE,0
09/17/24,BBC,1,FL,1
09/17/24,BBC,1,GA,1
09/17/24,BBC,1,HI,0
09/17/24,BBC,1,ID,1
09/17/24,BBC,1,IL,0
09/17/24,BBC,1,IN,1
09/17/24,BBC,1,IA,1
09/17/24,BBC,1,KS,1
09/17/24,BBC,1,KY,1
09/17/24,BBC,1,LA,1
09/17/24,BBC,1,ME,0
09/17/24,BBC,1,MD,0
09/17/24,BBC,1,MA,0
09/17/24,BBC,1,MI,0
09/17/24,BBC,1,MN,0
09/17/24,BBC,1,MS,1
09/17/24,BBC,1,MO,1
09/17/24,BBC,1,MT,1
09/17/24,BBC,1,NE,1
09/17/24,BBC,1,NV,0
09/17/24,BBC,1,NH,0
09/17/24,BBC,1,NJ,0
09/17/24,BBC,1,NM,0
09/17/24,BBC,1,NY,0
09/17/24,BBC,1,NC,1
09/17/24,BBC,1,ND,1
09/17/24,BBC,1,OH,1
09/17/24,BBC,1,OK,1
09/17/24,BBC,1,OR,0
09/17/24,BBC,1,PA,0
09/17/24,BBC,1,RI,0
09/17/24,BBC,1,SC,1
09/17/24,BBC,1,SD,1
09/17/24,BBC,1,TN,1
09/17/24,BBC,1,TX,1
09/17/24,BBC,1,UT,1
09/17/24,BBC,1,VT,0
09/17/24,BBC,1,VA,0
09/17/24,BBC,1,WA,0
09/17/24,BBC,1,WV,1
09/17/24,BBC,1,WI,0
09/17/24,BBC,1,WY,1
09/17/24,BBC,2,AL,1
09/17/24,BBC,2,AK,1
09/17/24,BBC,2,AZ,0
09/17/24,BBC,2,AR,1
09/17/24,BBC,2,CA,0
09/17/24,BBC,2,CO,0
09/17/24,BBC,2,CT,0
09/17/24,BBC,2,DC,0
